Symbolic_Maths,Natural_Language
q → t,if q is true then t is true
q → t,q entails t
t → q,if t then q
t → q,t implies q
q → A,if q then A
q → A,q implies A
q → A,if q is true then A is true
q → A,q entails A
A → q,if A then q
A → q,A implies q
r → s,if r then s
r → s,r implies s
r → s,if r is true then s is true
r → s,r entails s
s → r,if s then r
s → r,s implies r
r → t,if r then t
r → t,r implies t
r → t,if r is true then t is true
r → t,r entails t
t → r,if t then r
t → r,t implies r
r → A,if r then A
r → A,r implies A
r → A,if r is true then A is true
r → A,r entails A
A → r,if A then r
A → r,A implies r
s → t,if s then t
s → t,s implies t
s → t,if s is true then t is true
s → t,s entails t
t → s,if t then s
t → s,t implies s
s → A,if s then A
s → A,s implies A
s → A,if s is true then A is true
s → A,s entails A
A → s,if A then s
A → s,A implies s
t → A,if t then A
t → A,t implies A
t → A,if t is true then A is true
t → A,t entails A
A → t,if A then t
A → t,A implies t
p ↔ q,p if and only if q
p ↔ q,p is equivalent to q
p ↔ q,p is true if and only if q is true
p ↔ q,p and q have the same truth value
p ↔ r,p if and only if r
p ↔ r,p is equivalent to r
p ↔ r,p is true if and only if r is true
p ↔ r,p and r have the same truth value
p ↔ s,p if and only if s
p ↔ s,p is equivalent to s
p ↔ s,p is true if and only if s is true
p ↔ s,p and s have the same truth value
p ↔ t,p if and only if t
p ↔ t,p is equivalent to t
p ↔ t,p is true if and only if t is true
p ↔ t,p and t have the same truth value
p ↔ A,p if and only if A
p ↔ A,p is equivalent to A
p ↔ A,p is true if and only if A is true
p ↔ A,p and A have the same truth value
q ↔ r,q if and only if r
q ↔ r,q is equivalent to r
q ↔ r,q is true if and only if r is true
q ↔ r,q and r have the same truth value
q ↔ s,q if and only if s
q ↔ s,q is equivalent to s
q ↔ s,q is true if and only if s is true
q ↔ s,q and s have the same truth value
q ↔ t,q if and only if t
q ↔ t,q is equivalent to t
q ↔ t,q is true if and only if t is true
q ↔ t,q and t have the same truth value
q ↔ A,q if and only if A
q ↔ A,q is equivalent to A
q ↔ A,q is true if and only if A is true
q ↔ A,q and A have the same truth value
r ↔ s,r if and only if s
r ↔ s,r is equivalent to s
r ↔ s,r is true if and only if s is true
r ↔ s,r and s have the same truth value
r ↔ t,r if and only if t
r ↔ t,r is equivalent to t
r ↔ t,r is true if and only if t is true
r ↔ t,r and t have the same truth value
r ↔ A,r if and only if A
r ↔ A,r is equivalent to A
r ↔ A,r is true if and only if A is true
r ↔ A,r and A have the same truth value
s ↔ t,s if and only if t
s ↔ t,s is equivalent to t
s ↔ t,s is true if and only if t is true
s ↔ t,s and t have the same truth value
s ↔ A,s if and only if A
s ↔ A,s is equivalent to A
s ↔ A,s is true if and only if A is true
s ↔ A,s and A have the same truth value
t ↔ A,t if and only if A
t ↔ A,t is equivalent to A
t ↔ A,t is true if and only if A is true
t ↔ A,t and A have the same truth value
p ∧ (q ∨ r),p and either q or r
p ∧ (r ∨ q),p and either r or q
q ∧ (p ∨ r),q and either p or r
q ∧ (r ∨ p),q and either r or p
r ∧ (p ∨ q),r and either p or q
r ∧ (q ∨ p),r and either q or p
p ∨ (q ∧ r),p or both q and r
p ∨ (r ∧ q),p or both r and q
q ∨ (p ∧ r),q or both p and r
q ∨ (r ∧ p),q or both r and p
r ∨ (p ∧ q),r or both p and q
r ∨ (q ∧ p),r or both q and p
(p ∧ q) ∨ r,"either both p and q, or r"
(p ∧ r) ∨ q,"either both p and r, or q"
(q ∧ p) ∨ r,"either both q and p, or r"
(q ∧ r) ∨ p,"either both q and r, or p"
(r ∧ p) ∨ q,"either both r and p, or q"
(r ∧ q) ∨ p,"either both r and q, or p"
(p ∨ q) ∧ r,"either p or q, and also r"
(p ∨ r) ∧ q,"either p or r, and also q"
(q ∨ p) ∧ r,"either q or p, and also r"
(q ∨ r) ∧ p,"either q or r, and also p"
(r ∨ p) ∧ q,"either r or p, and also q"
(r ∨ q) ∧ p,"either r or q, and also p"
p → (q ∧ r),if p then both q and r
p → (r ∧ q),if p then both r and q
q → (p ∧ r),if q then both p and r
q → (r ∧ p),if q then both r and p
r → (p ∧ q),if r then both p and q
r → (q ∧ p),if r then both q and p
p → (q ∨ r),if p then either q or r
p → (r ∨ q),if p then either r or q
q → (p ∨ r),if q then either p or r
q → (r ∨ p),if q then either r or p
r → (p ∨ q),if r then either p or q
r → (q ∨ p),if r then either q or p
(p ∧ q) → r,if both p and q then r
(p ∧ r) → q,if both p and r then q
(q ∧ p) → r,if both q and p then r
(q ∧ r) → p,if both q and r then p
(r ∧ p) → q,if both r and p then q
(r ∧ q) → p,if both r and q then p
(p ∨ q) → r,if either p or q then r
(p ∨ r) → q,if either p or r then q
(q ∨ p) → r,if either q or p then r
(q ∨ r) → p,if either q or r then p
(r ∨ p) → q,if either r or p then q
(r ∨ q) → p,if either r or q then p
¬(p ∧ q) ↔ (¬p ∨ ¬q),the negation of p and q is equivalent to not p or not q
¬(p ∨ q) ↔ (¬p ∧ ¬q),the negation of p or q is equivalent to not p and not q
¬(A ∧ B) ↔ (¬A ∨ ¬B),the negation of A and B is equivalent to not A or not B
¬(A ∨ B) ↔ (¬A ∧ ¬B),the negation of A or B is equivalent to not A and not B
¬¬p ↔ p,the negation of not p is equivalent to p
¬¬q ↔ q,the negation of not q is equivalent to q
p ∧ (q ∨ r) ↔ (p ∧ q) ∨ (p ∧ r),"p and either q or r is equivalent to either p and q, or p and r"
p ∨ (q ∧ r) ↔ (p ∨ q) ∧ (p ∨ r),"p or both q and r is equivalent to both p or q, and p or r"
(p ∧ q) ∧ r ↔ p ∧ (q ∧ r),p and q and r is associative
(p ∨ q) ∨ r ↔ p ∨ (q ∨ r),p or q or r is associative
p ∧ q ↔ q ∧ p,p and q is equivalent to q and p
p ∨ q ↔ q ∨ p,p or q is equivalent to q or p
p ∧ ⊤ ↔ p,p and true is equivalent to p
p ∨ ⊥ ↔ p,p or false is equivalent to p
p ∧ ⊥ ↔ ⊥,p and false is equivalent to false
p ∨ ⊤ ↔ ⊤,p or true is equivalent to true
p ∧ ¬p ↔ ⊥,p and not p is equivalent to false
p ∨ ¬p ↔ ⊤,p or not p is equivalent to true
p → q ↔ ¬p ∨ q,if p then q is equivalent to not p or q
p → q ↔ ¬(p ∧ ¬q),if p then q is equivalent to not both p and not q
¬(p → q) ↔ p ∧ ¬q,not if p then q is equivalent to p and not q
∀x P(x),"for all x, P(x) is true"
∀x P(x),"for every x, P of x holds"
"∀x, P(x)","for all x, P(x)"
∀x in D P(x),"for all x in D, P(x) is true"
∀x in D P(x),"for every x in D, P of x holds"
"∀x in D, P(x)","for all x in D, P(x)"
∀x in the domain P(x),"for all x in the domain, P(x) is true"
∀x in the domain P(x),"for every x in the domain, P of x holds"
"∀x in the domain, P(x)","for all x in the domain, P(x)"
∀y P(y),"for all y, P(y) is true"
∀y P(y),"for every y, P of y holds"
"∀y, P(y)","for all y, P(y)"
∀y in D P(y),"for all y in D, P(y) is true"
∀y in D P(y),"for every y in D, P of y holds"
"∀y in D, P(y)","for all y in D, P(y)"
∀y in the domain P(y),"for all y in the domain, P(y) is true"
∀y in the domain P(y),"for every y in the domain, P of y holds"
"∀y in the domain, P(y)","for all y in the domain, P(y)"
∀z P(z),"for all z, P(z) is true"
∀z P(z),"for every z, P of z holds"
"∀z, P(z)","for all z, P(z)"
∀z in D P(z),"for all z in D, P(z) is true"
∀z in D P(z),"for every z in D, P of z holds"
"∀z in D, P(z)","for all z in D, P(z)"
∀z in the domain P(z),"for all z in the domain, P(z) is true"
∀z in the domain P(z),"for every z in the domain, P of z holds"
"∀z in the domain, P(z)","for all z in the domain, P(z)"
∀a P(a),"for all a, P(a) is true"
∀a P(a),"for every a, P of a holds"
"∀a, P(a)","for all a, P(a)"
∀a in D P(a),"for all a in D, P(a) is true"
∀a in D P(a),"for every a in D, P of a holds"
"∀a in D, P(a)","for all a in D, P(a)"
∀a in the domain P(a),"for all a in the domain, P(a) is true"
∀a in the domain P(a),"for every a in the domain, P of a holds"
"∀a in the domain, P(a)","for all a in the domain, P(a)"
∀x Q(x),"for all x, Q(x) is true"
∀x Q(x),"for every x, Q of x holds"
"∀x, Q(x)","for all x, Q(x)"
∀x in D Q(x),"for all x in D, Q(x) is true"
∀x in D Q(x),"for every x in D, Q of x holds"
"∀x in D, Q(x)","for all x in D, Q(x)"
∀x in the domain Q(x),"for all x in the domain, Q(x) is true"
∀x in the domain Q(x),"for every x in the domain, Q of x holds"
"∀x in the domain, Q(x)","for all x in the domain, Q(x)"
∀y Q(y),"for all y, Q(y) is true"
∀y Q(y),"for every y, Q of y holds"
"∀y, Q(y)","for all y, Q(y)"
∀y in D Q(y),"for all y in D, Q(y) is true"
∀y in D Q(y),"for every y in D, Q of y holds"
"∀y in D, Q(y)","for all y in D, Q(y)"
∀y in the domain Q(y),"for all y in the domain, Q(y) is true"
∀y in the domain Q(y),"for every y in the domain, Q of y holds"
"∀y in the domain, Q(y)","for all y in the domain, Q(y)"
∀z Q(z),"for all z, Q(z) is true"
∀z Q(z),"for every z, Q of z holds"
"∀z, Q(z)","for all z, Q(z)"
∀z in D Q(z),"for all z in D, Q(z) is true"
∀z in D Q(z),"for every z in D, Q of z holds"
"∀z in D, Q(z)","for all z in D, Q(z)"
∀z in the domain Q(z),"for all z in the domain, Q(z) is true"
∀z in the domain Q(z),"for every z in the domain, Q of z holds"
"∀z in the domain, Q(z)","for all z in the domain, Q(z)"
∀a Q(a),"for all a, Q(a) is true"
∀a Q(a),"for every a, Q of a holds"
"∀a, Q(a)","for all a, Q(a)"
∀a in D Q(a),"for all a in D, Q(a) is true"
∀a in D Q(a),"for every a in D, Q of a holds"
"∀a in D, Q(a)","for all a in D, Q(a)"
∀a in the domain Q(a),"for all a in the domain, Q(a) is true"
∀a in the domain Q(a),"for every a in the domain, Q of a holds"
"∀a in the domain, Q(a)","for all a in the domain, Q(a)"
∀x R(x),"for all x, R(x) is true"
∀x R(x),"for every x, R of x holds"
"∀x, R(x)","for all x, R(x)"
∀x in D R(x),"for all x in D, R(x) is true"
∀x in D R(x),"for every x in D, R of x holds"
"∀x in D, R(x)","for all x in D, R(x)"
∀x in the domain R(x),"for all x in the domain, R(x) is true"
∀x in the domain R(x),"for every x in the domain, R of x holds"
∃x P(x),there exists x such that P(x) is true
∃x P(x),there is some x for which P of x holds
"∃x, P(x)",there exists x such that P(x)
∃x in D P(x),there exists x in D such that P(x) is true
∃x in D P(x),there is some x in D for which P of x holds
"∃x in D, P(x)",there exists x in D such that P(x)
∃x in the domain P(x),there exists x in the domain such that P(x) is true
∃x in the domain P(x),there is some x in the domain for which P of x holds
"∃x in the domain, P(x)",there exists x in the domain such that P(x)
∃y P(y),there exists y such that P(y) is true
∃y P(y),there is some y for which P of y holds
"∃y, P(y)",there exists y such that P(y)
∃y in D P(y),there exists y in D such that P(y) is true
∃y in D P(y),there is some y in D for which P of y holds
"∃y in D, P(y)",there exists y in D such that P(y)
∃y in the domain P(y),there exists y in the domain such that P(y) is true
∃y in the domain P(y),there is some y in the domain for which P of y holds
"∃y in the domain, P(y)",there exists y in the domain such that P(y)
∃z P(z),there exists z such that P(z) is true
∃z P(z),there is some z for which P of z holds
"∃z, P(z)",there exists z such that P(z)
∃z in D P(z),there exists z in D such that P(z) is true
∃z in D P(z),there is some z in D for which P of z holds
"∃z in D, P(z)",there exists z in D such that P(z)
∃z in the domain P(z),there exists z in the domain such that P(z) is true
∃z in the domain P(z),there is some z in the domain for which P of z holds
"∃z in the domain, P(z)",there exists z in the domain such that P(z)
∃a P(a),there exists a such that P(a) is true
∃a P(a),there is some a for which P of a holds
"∃a, P(a)",there exists a such that P(a)
∃a in D P(a),there exists a in D such that P(a) is true
∃a in D P(a),there is some a in D for which P of a holds
"∃a in D, P(a)",there exists a in D such that P(a)
∃a in the domain P(a),there exists a in the domain such that P(a) is true
∃a in the domain P(a),there is some a in the domain for which P of a holds
"∃a in the domain, P(a)",there exists a in the domain such that P(a)
∃x Q(x),there exists x such that Q(x) is true
∃x Q(x),there is some x for which Q of x holds
"∃x, Q(x)",there exists x such that Q(x)
∃x in D Q(x),there exists x in D such that Q(x) is true
∃x in D Q(x),there is some x in D for which Q of x holds
"∃x in D, Q(x)",there exists x in D such that Q(x)
∃x in the domain Q(x),there exists x in the domain such that Q(x) is true
∃x in the domain Q(x),there is some x in the domain for which Q of x holds
"∃x in the domain, Q(x)",there exists x in the domain such that Q(x)
∃y Q(y),there exists y such that Q(y) is true
∃y Q(y),there is some y for which Q of y holds
"∃y, Q(y)",there exists y such that Q(y)
∃y in D Q(y),there exists y in D such that Q(y) is true
∃y in D Q(y),there is some y in D for which Q of y holds
"∃y in D, Q(y)",there exists y in D such that Q(y)
∃y in the domain Q(y),there exists y in the domain such that Q(y) is true
∃y in the domain Q(y),there is some y in the domain for which Q of y holds
"∃y in the domain, Q(y)",there exists y in the domain such that Q(y)
∃z Q(z),there exists z such that Q(z) is true
∃z Q(z),there is some z for which Q of z holds
"∃z, Q(z)",there exists z such that Q(z)
∃z in D Q(z),there exists z in D such that Q(z) is true
∃z in D Q(z),there is some z in D for which Q of z holds
"∃z in D, Q(z)",there exists z in D such that Q(z)
∃z in the domain Q(z),there exists z in the domain such that Q(z) is true
∃z in the domain Q(z),there is some z in the domain for which Q of z holds
"∃z in the domain, Q(z)",there exists z in the domain such that Q(z)
∃a Q(a),there exists a such that Q(a) is true
∃a Q(a),there is some a for which Q of a holds
"∃a, Q(a)",there exists a such that Q(a)
∃a in D Q(a),there exists a in D such that Q(a) is true
∃a in D Q(a),there is some a in D for which Q of a holds
"∃a in D, Q(a)",there exists a in D such that Q(a)
∃a in the domain Q(a),there exists a in the domain such that Q(a) is true
∃a in the domain Q(a),there is some a in the domain for which Q of a holds
"∃a in the domain, Q(a)",there exists a in the domain such that Q(a)
∃x R(x),there exists x such that R(x) is true
∃x R(x),there is some x for which R of x holds
"∃x, R(x)",there exists x such that R(x)
∃x in D R(x),there exists x in D such that R(x) is true
∃x in D R(x),there is some x in D for which R of x holds
"∃x in D, R(x)",there exists x in D such that R(x)
∃x in the domain R(x),there exists x in the domain such that R(x) is true
∃x in the domain R(x),there is some x in the domain for which R of x holds
∃!x P(x),there exists a unique x such that P(x) is true
∃!x P(x),there is exactly one x for which P of x holds
∃!x P(x),there exists one and only one x such that P(x)
∃!y P(y),there exists a unique y such that P(y) is true
∃!y P(y),there is exactly one y for which P of y holds
∃!y P(y),there exists one and only one y such that P(y)
∃!z P(z),there exists a unique z such that P(z) is true
∃!z P(z),there is exactly one z for which P of z holds
∃!z P(z),there exists one and only one z such that P(z)
∃!x Q(x),there exists a unique x such that Q(x) is true
∃!x Q(x),there is exactly one x for which Q of x holds
∃!x Q(x),there exists one and only one x such that Q(x)
∃!y Q(y),there exists a unique y such that Q(y) is true
∃!y Q(y),there is exactly one y for which Q of y holds
∃!y Q(y),there exists one and only one y such that Q(y)
∃!z Q(z),there exists a unique z such that Q(z) is true
∃!z Q(z),there is exactly one z for which Q of z holds
∃!z Q(z),there exists one and only one z such that Q(z)
∃!x R(x),there exists a unique x such that R(x) is true
∃!x R(x),there is exactly one x for which R of x holds
∃!x R(x),there exists one and only one x such that R(x)
∃!y R(y),there exists a unique y such that R(y) is true
∃!y R(y),there is exactly one y for which R of y holds
∃!y R(y),there exists one and only one y such that R(y)
∃!z R(z),there exists a unique z such that R(z) is true
∃!z R(z),there is exactly one z for which R of z holds
∃!z R(z),there exists one and only one z such that R(z)
∃!x S(x),there exists a unique x such that S(x) is true
∃!x S(x),there is exactly one x for which S of x holds
∃!x S(x),there exists one and only one x such that S(x)
∃!y S(y),there exists a unique y such that S(y) is true
∃!y S(y),there is exactly one y for which S of y holds
∃!y S(y),there exists one and only one y such that S(y)
∃!z S(z),there exists a unique z such that S(z) is true
∃!z S(z),there is exactly one z for which S of z holds
∃!z S(z),there exists one and only one z such that S(z)
∀x (P(x) ∧ Q(x)),"for all x, both P(x) and Q(x) are true"
∀x (P(x) ∧ R(x)),"for all x, both P(x) and R(x) are true"
∀x (P(x) ∧ S(x)),"for all x, both P(x) and S(x) are true"
∀x (Q(x) ∧ R(x)),"for all x, both Q(x) and R(x) are true"
∀x (Q(x) ∧ S(x)),"for all x, both Q(x) and S(x) are true"
∀x (R(x) ∧ S(x)),"for all x, both R(x) and S(x) are true"
∀y (P(y) ∧ Q(y)),"for all y, both P(y) and Q(y) are true"
∀y (P(y) ∧ R(y)),"for all y, both P(y) and R(y) are true"
∀y (P(y) ∧ S(y)),"for all y, both P(y) and S(y) are true"
∀y (Q(y) ∧ R(y)),"for all y, both Q(y) and R(y) are true"
∀y (Q(y) ∧ S(y)),"for all y, both Q(y) and S(y) are true"
∀y (R(y) ∧ S(y)),"for all y, both R(y) and S(y) are true"
∀z (P(z) ∧ Q(z)),"for all z, both P(z) and Q(z) are true"
∀z (P(z) ∧ R(z)),"for all z, both P(z) and R(z) are true"
∀z (P(z) ∧ S(z)),"for all z, both P(z) and S(z) are true"
∀z (Q(z) ∧ R(z)),"for all z, both Q(z) and R(z) are true"
∀z (Q(z) ∧ S(z)),"for all z, both Q(z) and S(z) are true"
∀z (R(z) ∧ S(z)),"for all z, both R(z) and S(z) are true"
∀x (P(x) ∨ Q(x)),"for all x, either P(x) or Q(x) is true"
∀x (P(x) ∨ R(x)),"for all x, either P(x) or R(x) is true"
∀x (P(x) ∨ S(x)),"for all x, either P(x) or S(x) is true"
∀x (Q(x) ∨ R(x)),"for all x, either Q(x) or R(x) is true"
∀x (Q(x) ∨ S(x)),"for all x, either Q(x) or S(x) is true"
∀x (R(x) ∨ S(x)),"for all x, either R(x) or S(x) is true"
∀y (P(y) ∨ Q(y)),"for all y, either P(y) or Q(y) is true"
∀y (P(y) ∨ R(y)),"for all y, either P(y) or R(y) is true"
∀y (P(y) ∨ S(y)),"for all y, either P(y) or S(y) is true"
∀y (Q(y) ∨ R(y)),"for all y, either Q(y) or R(y) is true"
∀y (Q(y) ∨ S(y)),"for all y, either Q(y) or S(y) is true"
∀y (R(y) ∨ S(y)),"for all y, either R(y) or S(y) is true"
∀z (P(z) ∨ Q(z)),"for all z, either P(z) or Q(z) is true"
∀z (P(z) ∨ R(z)),"for all z, either P(z) or R(z) is true"
∀z (P(z) ∨ S(z)),"for all z, either P(z) or S(z) is true"
∀z (Q(z) ∨ R(z)),"for all z, either Q(z) or R(z) is true"
∀z (Q(z) ∨ S(z)),"for all z, either Q(z) or S(z) is true"
∀z (R(z) ∨ S(z)),"for all z, either R(z) or S(z) is true"
∃x (P(x) ∧ Q(x)),there exists x such that both P(x) and Q(x) are true
∃x (P(x) ∧ R(x)),there exists x such that both P(x) and R(x) are true
∃x (P(x) ∧ S(x)),there exists x such that both P(x) and S(x) are true
∃x (Q(x) ∧ R(x)),there exists x such that both Q(x) and R(x) are true
∃x (Q(x) ∧ S(x)),there exists x such that both Q(x) and S(x) are true
∃x (R(x) ∧ S(x)),there exists x such that both R(x) and S(x) are true
∃y (P(y) ∧ Q(y)),there exists y such that both P(y) and Q(y) are true
∃y (P(y) ∧ R(y)),there exists y such that both P(y) and R(y) are true
∃y (P(y) ∧ S(y)),there exists y such that both P(y) and S(y) are true
∃y (Q(y) ∧ R(y)),there exists y such that both Q(y) and R(y) are true
∃y (Q(y) ∧ S(y)),there exists y such that both Q(y) and S(y) are true
∃y (R(y) ∧ S(y)),there exists y such that both R(y) and S(y) are true
∃z (P(z) ∧ Q(z)),there exists z such that both P(z) and Q(z) are true
∃z (P(z) ∧ R(z)),there exists z such that both P(z) and R(z) are true
∃z (P(z) ∧ S(z)),there exists z such that both P(z) and S(z) are true
∃z (Q(z) ∧ R(z)),there exists z such that both Q(z) and R(z) are true
∃z (Q(z) ∧ S(z)),there exists z such that both Q(z) and S(z) are true
∃z (R(z) ∧ S(z)),there exists z such that both R(z) and S(z) are true
∃x (P(x) ∨ Q(x)),there exists x such that either P(x) or Q(x) is true
∃x (P(x) ∨ R(x)),there exists x such that either P(x) or R(x) is true
∃x (P(x) ∨ S(x)),there exists x such that either P(x) or S(x) is true
∃x (Q(x) ∨ R(x)),there exists x such that either Q(x) or R(x) is true
∃x (Q(x) ∨ S(x)),there exists x such that either Q(x) or S(x) is true
∃x (R(x) ∨ S(x)),there exists x such that either R(x) or S(x) is true
∃y (P(y) ∨ Q(y)),there exists y such that either P(y) or Q(y) is true
∃y (P(y) ∨ R(y)),there exists y such that either P(y) or R(y) is true
∃y (P(y) ∨ S(y)),there exists y such that either P(y) or S(y) is true
∃y (Q(y) ∨ R(y)),there exists y such that either Q(y) or R(y) is true
∃y (Q(y) ∨ S(y)),there exists y such that either Q(y) or S(y) is true
∃y (R(y) ∨ S(y)),there exists y such that either R(y) or S(y) is true
∃z (P(z) ∨ Q(z)),there exists z such that either P(z) or Q(z) is true
∃z (P(z) ∨ R(z)),there exists z such that either P(z) or R(z) is true
∃z (P(z) ∨ S(z)),there exists z such that either P(z) or S(z) is true
∃z (Q(z) ∨ R(z)),there exists z such that either Q(z) or R(z) is true
∃z (Q(z) ∨ S(z)),there exists z such that either Q(z) or S(z) is true
∃z (R(z) ∨ S(z)),there exists z such that either R(z) or S(z) is true
∀x (P(x) → Q(x)),"for all x, if P(x) then Q(x)"
∀x (P(x) → R(x)),"for all x, if P(x) then R(x)"
∀x (P(x) → S(x)),"for all x, if P(x) then S(x)"
∀x (Q(x) → R(x)),"for all x, if Q(x) then R(x)"
∀x (Q(x) → S(x)),"for all x, if Q(x) then S(x)"
∀x (R(x) → S(x)),"for all x, if R(x) then S(x)"
∀y (P(y) → Q(y)),"for all y, if P(y) then Q(y)"
∀y (P(y) → R(y)),"for all y, if P(y) then R(y)"
∀y (P(y) → S(y)),"for all y, if P(y) then S(y)"
∀y (Q(y) → R(y)),"for all y, if Q(y) then R(y)"
∀y (Q(y) → S(y)),"for all y, if Q(y) then S(y)"
∀y (R(y) → S(y)),"for all y, if R(y) then S(y)"
∀z (P(z) → Q(z)),"for all z, if P(z) then Q(z)"
∀z (P(z) → R(z)),"for all z, if P(z) then R(z)"
∀z (P(z) → S(z)),"for all z, if P(z) then S(z)"
∀z (Q(z) → R(z)),"for all z, if Q(z) then R(z)"
∀z (Q(z) → S(z)),"for all z, if Q(z) then S(z)"
∀z (R(z) → S(z)),"for all z, if R(z) then S(z)"
∃x (P(x) → Q(x)),there exists x such that if P(x) then Q(x)
∃x (P(x) → R(x)),there exists x such that if P(x) then R(x)
∃x (P(x) → S(x)),there exists x such that if P(x) then S(x)
∃x (Q(x) → R(x)),there exists x such that if Q(x) then R(x)
∃x (Q(x) → S(x)),there exists x such that if Q(x) then S(x)
∃x (R(x) → S(x)),there exists x such that if R(x) then S(x)
∃y (P(y) → Q(y)),there exists y such that if P(y) then Q(y)
∃y (P(y) → R(y)),there exists y such that if P(y) then R(y)
∃y (P(y) → S(y)),there exists y such that if P(y) then S(y)
∃y (Q(y) → R(y)),there exists y such that if Q(y) then R(y)
∃y (Q(y) → S(y)),there exists y such that if Q(y) then S(y)
∃y (R(y) → S(y)),there exists y such that if R(y) then S(y)
∃z (P(z) → Q(z)),there exists z such that if P(z) then Q(z)
∃z (P(z) → R(z)),there exists z such that if P(z) then R(z)
∃z (P(z) → S(z)),there exists z such that if P(z) then S(z)
∃z (Q(z) → R(z)),there exists z such that if Q(z) then R(z)
∃z (Q(z) → S(z)),there exists z such that if Q(z) then S(z)
∃z (R(z) → S(z)),there exists z such that if R(z) then S(z)
∀x (P(x) ↔ Q(x)),"for all x, P(x) if and only if Q(x)"
∀x (P(x) ↔ R(x)),"for all x, P(x) if and only if R(x)"
∀x (P(x) ↔ S(x)),"for all x, P(x) if and only if S(x)"
∀x (Q(x) ↔ R(x)),"for all x, Q(x) if and only if R(x)"
∀x (Q(x) ↔ S(x)),"for all x, Q(x) if and only if S(x)"
∀x (R(x) ↔ S(x)),"for all x, R(x) if and only if S(x)"
∀y (P(y) ↔ Q(y)),"for all y, P(y) if and only if Q(y)"
