Symbolic_Maths,Natural_Language
B ≈ P,matrix B is approximately equal to matrix P
"∀x ∃y Q(x, y)","for all x, there exists y such that Q(x, y) is true"
P ∪ C,The union of P and C
Cᵢⱼ,the entry in row i and column j of matrix C
"∀x ∃z R(x, z)","for all x, there exists z such that R(x, z) is true"
∀x (P(x) ∨ Q(x)),"for all x, either P(x) or Q(x) is true"
"∃a, P(a)",there exists a such that P(a)
A - B,the difference of matrices A and B
v2(C),the second eigenvector of matrix C
r → (s → (q → p)),if r then if s then if q then p
Y \ A,The set difference Y minus A
B + M,the sum of matrices B and M
∃x in set S Odd(x),there exists x in set S such that Odd(x)
∃x in set S (Prime(x) ∧ Positive(x)),there exists x in set S such that both Prime(x) and Positive(x)
∀x in the domain D (Positive(x) → Even(x)),"for all x in the domain D, if Positive(x) then Even(x)"
A ⊇ R,Set A contains set R
Finite Q ∧ Finite V → Finite (Q ∪ V),"If Q is finite and V is finite, then Q ∪ V is finite"
range(A),the range of matrix A
v + w,the sum of vectors v and w
Qᵢⱼ,the entry in row i and column j of matrix Q
q ∨ t,q is true or t is true
"Injective f → ∀ x y ∈ X, f x = f y → x = y","If f is injective, then for all x, y in X, f(x) = f(y) implies x = y"
v ∉ R,v is not a member of set R
∃x in the domain Q(x),there is some x in the domain for which Q of x holds
t ∈ S ∩ A ↔ (t ∈ S ∧ t ∈ A),t is an element of the intersection of S and A if and only if t is in both S and A
q → A,q implies A
q → (p ∧ r),if q then both p and r
v + x,the sum of vectors v and x
ℝ²,the 2-dimensional real coordinate space
M²,matrix M squared
∅ ⊆ C,The empty set is a subset of every set C
r ↔ A,r is true if and only if A is true
q ↔ r,q is true if and only if r is true
(q ∨ s),q or s
S ⊆ ℝⁿ,S is a subspace of n-dimensional real space
CᵀM,the transpose of C times M
∂B/∂t,the partial derivative of matrix B with respect to t
"∀a in the domain, Q(a)","for all a in the domain, Q(a)"
∃x in the integers Positive(x),there exists x in the integers such that Positive(x)
f '' W,The image of set W under function f
Disjoint U S → U ∩ S = ∅,"If U and S are disjoint, then U ∩ S = ∅"
BPᵀ,matrix B times the transpose of P
p ∧ s,both p and s
nullity(C),the nullity of matrix C
L(u),the linear operator L applied to vector u
Xijective (f : P → X),f is bijective from P to X
Au = λu,the matrix A times vector u equals the scalar lambda times vector u
¬(A ∨ B ∨ C) ↔ (¬A ∧ ¬B ∧ ¬C),"not any of A, B, oC C is eBuivalent to not A, and not B, and not C"
V + V,the sum of subspaces V and V
a ∈ X ∩ A ↔ (a ∈ X ∧ a ∈ A),a is an element of the intersection of X and A if and only if a is in both X and A
L: ℝⁿ → ℝᵐ,L is a linear transformation from n-dimensional to m-dimensional real space
C ∪ S,The union of C and S
Cu,matrix C times vector u
B - P,the difference of matrices B and P
"∀x ∀y ∀z ((T(x, y) ∧ T(y, z)) → T(x, z))","for all x, y, and z, if T(x, y) and T(y, z) then T(x, z)"
¬(p ∨ q) ↔ (¬p ∧ ¬q),the negation of p or q is equivalent to not p and not q
v ∈ ℝ³,vector v is in 3-dimensional real space
Ax,matrix A times vector x
"T × C = {(a, b) | a ∈ T ∧ b ∈ C}","The Cartesian product T × C is the set of all ordered pairs (a, b) where a ∈ T and b ∈ C"
Disjoint X Xᶜ,X and its complement are disjoint
∃z in the domain P(z),there is some z in the domain for which P of z holds
R ⊆ S → Sᶜ ⊆ Rᶜ,"If R ⊆ S, then Sᶜ ⊆ Rᶜ"
∃!z R(z),there is exactly one z for which R of z holds
B ∈ ℝ³ˣ³,matrix B is a 3 by 3 real matrix
(C ∩ Z)ᶜ = Cᶜ ∪ Zᶜ,The complement of the intersection of C and Z equals the union of their complements
"v = [v₁, v₂]",the vector v with components v1 and v2
f : Z → W,f maps Z into W
r ∧ t,r and t
"Injective f → ∀ x y ∈ C, f x = f y → x = y","If f is injective, then for all x, y in C, f(x) = f(y) implies x = y"
z ∉ B,z is not a member of set B
k ∈ S ∪ Q ↔ (k ∈ S ∨ k ∈ Q),k is an element of S union Q if and only if k is an element of S or k is an element of Q
‖A‖∞,the infinity norm of matrix A
r → t,if r is true then t is true
¬¬q ↔ q,the negation of not q is equivalent to q
((A → B) ∧ ¬B) → ¬A,"if A imAlies B and not B, then not A"
|AM|,the determinant of the product of matrices A and M
V ∪ (V ∩ U) = V,Vbsorption law for union: V ∪ (V ∩ U) = V
T(w),the linear transformation T applied to vector w
∀a in D P(a),"for every a in D, P of a holds"
∀z (Q(z) → S(z)),"for all z, if Q(z) then S(z)"
Rijective (f : P → R),f is bijective from P to R
λ1(A),the first eigenvalue of matrix A
r → q,r implies q
t → r,t implies r
q → (r → (s → p)),if q then if r then if s then p
q ↔ A,q is true if and only if A is true
v ⋅ (x + a),the dot product of v with the sum of x and a
w ∧ x,the wedge product of vectors w and x
Bᵢⱼ,the entry in row i and column j of matrix B
q ∧ A,both q and A
∃x in set S Even(x),there exists x in set S such that Even(x)
(v - w) × a,the cross product of the difference of v and w with a
b ∉ C,b is not a member of set C
"∀ x, x ∈ univ",Every element is an element of the universal set
(r → s) ↔ (¬s → ¬r),if r then s is esuivalent to if not s then not r
(s ∧ q) → (p ∨ r),if both s and q then either p or r
"T × Q = {(a, b) | a ∈ T ∧ b ∈ Q}","The Cartesian product T × Q is the set of all ordered pairs (a, b) where a ∈ T and b ∈ Q"
∀z (P(z) → S(z)),"for all z, if P(z) then S(z)"
(s ∧ p) → (r ∨ q),if both s and p then either r or q
A ⊆ X,A is a subset of X
(R ∪ U)ᶜ = Rᶜ ∩ Uᶜ,The complement of the union of R and U equals the intersection of their complements
u + y,the sum of vectors u and y
ker(A),the kernel of matrix A
Disjoint S R → S ∩ R = ∅,"If S and R are disjoint, then S ∩ R = ∅"
q ↔ r,q and r have the same truth value
s → A,if s then A
"Q × Z = {(a, b) | a ∈ Q ∧ b ∈ Z}","The Cartesian product Q × Z is the set of all ordered pairs (a, b) where a ∈ Q and b ∈ Z"
a ∈ Xᶜ ↔ a ∉ X,a is an element of the complement of X if and only if a is not in X
∀a in the domain Q(a),"for every a in the domain, Q of a holds"
(kB)ᵀ,the transpose of k times matrix B
∀a in the domain P(a),"for all a in the domain, P(a) is true"
∃z (P(z) → R(z)),there exists z such that if P(z) then R(z)
σ₁(A) ≥ σ₂(A) ≥ ... ≥ σᵣ(A),the singular values of A in descending order
X ⊆ B ∧ B ⊆ U → X ⊆ U,"If X ⊆ B and B ⊆ U, then X ⊆ U"
s ∨ t,s is true or t is true
∀x in the natural numbers (Even(x) → Odd(x)),"for all x in the natural numbers, if Even(x) then Odd(x)"
(A ∩ B) ∩ C = A ∩ (B ∩ C),Intersection is associative
V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V),Intersection distributes over union: V ∩ (W ∪ V) = (V ∩ W) ∪ (V ∩ V)
‖v‖,the norm of vector v
P⁻¹,the inverse of matrix P
"∃x ∀y S(x, y)","there exists x such that for all y, S(x, y) holds"
∀x in the real numbers Odd(x),"for all x in the real numbers, Odd(x)"
p_A(λ),the characteristic polynomial of matrix A
z ∈ S ∪ B ↔ (z ∈ S ∨ z ∈ B),z is an element of S union B if and only if z is an element of S or z is an element of B
R ⊆ W ∧ W ⊆ Z → R ⊆ Z,"If R ⊆ W and W ⊆ Z, then R ⊆ Z"
exp(C),the matrix exponential of C
zᵢ,the i-th component of vector z
¬A,the negation of A
∃x in the domain D (Positive(x) ∧ Even(x)),there exists x in the domain D such that both Positive(x) and Even(x)
(T ∩ R)ᶜ = Tᶜ ∪ Rᶜ,The complement of the intersection of T and R equals the union of their complements
A is symmetric,matrix A is symmetric
q ∨ t,either q or t
y ∈ R,The element y is an element of set R
r ↔ A,r and A have the same truth value
Aw,matrix A times vector w
(C - λI)w = 0,matrix C minus λ times the identity matrix times vector w equals zero
U ∪ (U ∩ Q) = U,Ubsorption law for union: U ∪ (U ∩ Q) = U
M³,matrix M cubed
X ∪ Xᶜ = univ,The union of X and its complement equals the universal set
vᵀCv,the quadratic form v transpose C v
∀z (R(z) → z = a),"for all z, if R(z) then z equals a"
P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P),Intersection distributes over union: P ∩ (R ∪ P) = (P ∩ R) ∪ (P ∩ P)
V*,the dual space of V
S ⊆ S → Sᶜ ⊆ Sᶜ,"If S ⊆ S, then Sᶜ ⊆ Sᶜ"
C ⊆ Z,Every element of C is an element of Z
p ∨ q,p is true or q is true
∃x in D Q(x),there exists x in D such that Q(x) is true
"U = W ↔ ∀ x, x ∈ U ↔ x ∈ W",Sets U and W are equal if they have the same elements
‖z‖₁,the L1 norm of vector z
"∃y ∃z R(y, z)","there exist y and z such that R(y, z) is true"
"{w₁, w₂} is linearly dependent","the vectors {w₁, w₂} are linearly dependent"
σ2(B),the second singular value of matrix B
(S ∩ C)ᶜ = Sᶜ ∪ Cᶜ,The complement of the intersection of S and C equals the union of their complements
∃y Q(y),there is some y for which Q of y holds
A is singular,matrix A is singular
(p → q) → ((q → r) → (p → r)),if p implies q then if q implies r then p implies r
∀x in the real numbers (Odd(x) → Prime(x)),"for all x in the real numbers, if Odd(x) then Prime(x)"
Surjective (f : W → R),f is surjective from W to R
∃!y P(y),there is exactly one y for which P of y holds
{x | P x},The set of all elements x such that property P holds
"v = [v₁, v₂, ..., vₙ]","the vector v with components v1, v2, through vn"
[P]ᵢⱼ,the i j entry of matrix P
∃x (P(x) ∧ Q(y)),there exists x such that P(x) and Q(y)
AC,the product of matrices A and C
∃!z S(z),there is exactly one z for which S of z holds
r ∨ t,either r or t
∀t (Q(t) → t = a),"for all t, if Q(t) then t equals a"
trace(C),the trace of matrix C
t ∈ S ∩ P ↔ (t ∈ S ∧ t ∈ P),t is an element of the intersection of S and P if and only if t is in both S and P
R \ C,The set difference R minus C
"∀x ∀y P(x, y)","for all x and for all y, P(x, y) is true"
κ(B),the condition number of matrix B
y ∈ Aᶜ ↔ y ∉ A,y is an element of the complement of A if and only if y is not in A
a ∈ P,The element a is an element of set P
s → (q → (r → p)),if s then if q then if r then p
C is invertible,matrix C is invertible
tr(B),the trace of matrix B
"∀ S ⊆ R, Finite S","For all subsets S of R, S is finite"
𝒫(Y) = {S | S ⊆ Y},The power set of Y is the set of all subsets of Y
P ∩ C,The intersection of P and C
"∀ x ∈ Y, P x","For all x in Y, property P holds"
(B + M)⁻¹,the inverse of the sum of matrices B and M
s ↔ t,s is true if and only if t is true
∃!y R(y),there exists a unique y such that R(y) is true
Aw = λw,the matrix A times vector w equals the scalar lambda times vector w
[v]_S,the coordinate vector of v with respect to basis S
(p ∨ A),p or A
det(M - μI) = 0,the determinant of matrix M minus μ times the identity equals zero
AᵀPᵀ,the transpose of A times the transpose of P
det(A + M),the determinant of the sum of matrices A and M
w ∈ S ∩ V ↔ (w ∈ S ∧ w ∈ V),w is an element of the intersection of S and V if and only if w is in both S and V
p_C(λ),the characteristic polynomial of matrix C
AB,the product of matrices A and B
∃y (Q(y) ∧ S(y)),there exists y such that both Q(y) and S(y) are true
(C - λI)v = 0,matrix C minus λ times the identity matrix times vector v equals zero
"∀ x ∈ A, P x → Q x","For every element x in A, if P(x) then Q(x)"
X ⊇ B,Set X contains set B
(P → Q) ↔ (¬Q → ¬P),if P then Q is eQuivalent to if not Q then not P
∀y in D P(y),"for every y in D, P of y holds"
∃x in the domain D (Even(x) ∧ Odd(x)),there exists x in the domain D such that both Even(x) and Odd(x)
{n : ℤ | n < 10},The set of all integers less than 10
M = UΣVᵀ,matrix M equals U times Sigma times V transpose
c ∉ R,c is not a member of set R
X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B),Intersection distributes over union: X ∩ (W ∪ B) = (X ∩ W) ∪ (X ∩ B)
∀x (P(x) ∧ R(x)),"for all x, both P(x) and R(x) are true"
R ⊆ Z,Every element of R is an element of Z
P ⊆ B,P is a subset of B
A ⊆ B ↔ A ∪ B = B,A is a subset of B if and only if their union equals B
(v - u) × a,the cross product of the difference of v and u with a
((A ∨ B) ∧ ¬A) → B,"if A or B and not A, then B"
"∀y ∃a P(y, a)","for all y, there exists a such that P(y, a) is true"
B³,matrix B cubed
det(kB),the determinant of k times matrix B
"⟨v, u⟩",the inner product of v and u
∀x P(x),"for every x, P of x holds"
"C = Y ↔ ∀ x, x ∈ C ↔ x ∈ Y",Sets C and Y are equal if they have the same elements
(s ∨ q) ∧ (r ∨ p),"either s or q, and either r or p"
f : C → P,f maps C into P
p ∨ (q ∧ r),p or both q and r
∃!z R(z),there exists one and only one z such that R(z)
∃x ∀y (P(y) → y = x),"there exists x such that for all y, if P(y) then y equals x"
S ⊆ Q → Qᶜ ⊆ Sᶜ,"If S ⊆ Q, then Qᶜ ⊆ Sᶜ"
"S × S = {(a, b) | a ∈ S ∧ b ∈ S}","The Cartesian product S × S is the set of all ordered pairs (a, b) where a ∈ S and b ∈ S"
S ⊆ U → Uᶜ ⊆ Sᶜ,"If S ⊆ U, then Uᶜ ⊆ Sᶜ"
"Y × V = {(a, b) | a ∈ Y ∧ b ∈ V}","The Cartesian product Y × V is the set of all ordered pairs (a, b) where a ∈ Y and b ∈ V"
∃!y R(y),there exists one and only one y such that R(y)
"X × T = {(a, b) | a ∈ X ∧ b ∈ T}","The Cartesian product X × T is the set of all ordered pairs (a, b) where a ∈ X and b ∈ T"
∃z Q(z),there is some z for which Q of z holds
tr(P),the trace of matrix P
∀z in the domain P(z),"for all z in the domain, P(z) is true"
"T = V ↔ ∀ x, x ∈ T ↔ x ∈ V",Sets T and V are equal if they have the same elements
det(A) = Πλᵢ,the determinant of A equals the product of its eigenvalues
A ∩ X,The intersection of A and X
"∀a in D, Q(a)","for all a in D, Q(a)"
S ⊇ X,Set S contains set X
v ∈ S ∩ A ↔ (v ∈ S ∧ v ∈ A),v is an element of the intersection of S and A if and only if v is in both S and A
(v + w) ⋅ a,the dot product of the sum of v and w with a
"∀ x ∈ T, P x → Q x","For every element x in T, if P(x) then Q(x)"
A · C,the product of matrices A and C
∀x P(x),"for all x, P(x) is true"
Q \ U,The set difference Q minus U
V ⊆ Q,V is a subset of Q
A⁻²,the inverse of A squared
T: ℝⁿ → ℝᵐ,T is a linear transformation from n-dimensional to m-dimensional real space
b ∈ C \ P,b is an element of C but not in P
∃!y R(y),there exists a unique y such that R(y)
Injective (f : T → W),f is injective on T
∀z (R(z) ∧ S(z)),"for all z, both R(z) and S(z) are true"
w ⊗ u,the tensor product of w and u
B is invertible,matrix B is invertible
(q ∧ r) → p,if both q and r then p
u ∈ ℝⁿ,vector u is in the n-dimensional real space
M*,the conjugate transpose of matrix M
A = UΣVᵀ,matrix A equals U times Sigma times V transpose
v · u,the dot product of vectors v and u
t ∈ V ∩ X ↔ (t ∈ V ∧ t ∈ X),t is an element of the intersection of V and X if and only if t is in both V and X
(q ↔ s) ∧ (r ↔ p),"q if and only if s, and r if and only if p"
‖x‖,the norm of vector x
σ1(C),the first singular value of matrix C
Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R),Intersection distributes over union: Z ∩ (S ∪ R) = (Z ∩ S) ∪ (Z ∩ R)
∇²f(x) ≻ 0,the Hessian of f at x is positive definite
(q ∨ r) ∧ (s ∨ p),"either q or r, and either s or p"
{x ∈ P | Q x},The set of all elements in P satisfying property Q
B · C,the product of matrices B and C
r ∧ s,r and s
u ⋅ y,the dot product of vectors u and y
∀x (P(x) → Q) ↔ (∃x P(x) → Q),fot all x if P(x) then Q is esuivalent to if thete exists x P(x) then Q
T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T),Intersection distributes over union: T ∩ (B ∪ T) = (T ∩ B) ∪ (T ∩ T)
p_B(λ) = 0,the characteristic equation of matrix B
(w - x) × a,the cross product of the difference of w and x with a
n ∈ Xᶜ ↔ n ∉ X,n is an element of the complement of X if and only if n is not in X
‖w‖ + ‖u‖,the sum of the norms of w and u
AᵀC,the transpose of A times C
Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S),Union distributes over intersection: Q ∪ (P ∩ S) = (Q ∪ P) ∩ (Q ∪ S)
t ∈ R,The element t is an element of set R
uᵀBu,the quadratic form u transpose B u
"⟨v, y⟩",the inner product of vectors v and y
"∀y ∀a P(y, a)","for all y and for all a, P(y, a) is true"
tr(B + C),the trace of the sum of matrices B and C
A ⊇ U,Set A contains set U
AM,the product of matrices A and M
∀x (Q(x) → S(x)),"for all x, if Q(x) then S(x)"
(r ∧ s) → (p ∨ q),if both r and s then either p or q
q ∨ r,q is true or r is true
∇f(x),the gradient of f at x
∀z (R(z) ∨ S(z)),"for all z, either R(z) or S(z) is true"
f(v + w),f applied to the sum of v and w
Z ∪ U,The union of Z and U
s → q,s implies q
"∃ S ⊆ T, S ≠ ∅",There exists a subset S of T that is non-empty
B ∪ A,The union of B and A
w ⊥ x,vector w is orthogonal to vector x
|BC|,the determinant of the product of matrices B and C
∃x in D P(x),there is some x in D for which P of x holds
r → (q → (s → p)),if r then if q then if s then p
n ∈ T \ X,n is an element of T but not in X
(v + u) ⋅ a,the dot product of the sum of v and u with a
(P ∧ Q) → P,if P and Q then P
U ⊕ V,the direct sum of subspaces U and V
∃y (P(y) ∧ Q(y)),there exists y such that both P(y) and Q(y) are true
p ↔ q,p is true if and only if q is true
r → (p → (s → q)),if r then if p then if s then q
Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X),Union distributes over intersection: Q ∪ (V ∩ X) = (Q ∪ V) ∩ (Q ∪ X)
row(A),the row space of matrix A
∀y (P(y) ↔ Q(y)),"for all y, P(y) if and only if Q(y)"
tr(kB),the trace of k times matrix B
X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V),Union distributes over intersection: X ∪ (U ∩ V) = (X ∪ U) ∩ (X ∪ V)
Sᶜ,The complement of S
X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C),Union distributes over intersection: X ∪ (A ∩ C) = (X ∪ A) ∩ (X ∪ C)
𝒫(Z) = {S | S ⊆ Z},The power set of Z is the set of all subsets of Z
tr(A²),the trace of A squared
(v - u) × b,the cross product of the difference of v and u with b
"∀x ∀a P(x, a)","for all x and for all a, P(x, a) is true"
tr(A) = Σλᵢ,the trace of A equals the sum of its eigenvalues
p ↔ t,p is true if and only if t is true
p ↔ q,p if and only if q
‖M‖∞,the infinity norm of matrix M
∃z (Q(z) → S(z)),there exists z such that if Q(z) then S(z)
(v - w) × b,the cross product of the difference of v and w with b
S ∈ 𝒫(S),S is an element of its own power set
Mv = λv,matrix M times vector v equals λ times vector v
u ∈ Z \ Y,u is an element of Z but not in Y
s ∧ t,s is true and t is true
t → (s ∨ t) ↔ (t → s) ∨ (t → t),"if t then s ot t is esuivalent to if t then s, ot if t then t"
∃y Q(y),there exists y such that Q(y) is true
Q ⊇ X,Set Q contains set X
n ∉ X,n is not a member of set X
"∀x ∃y P(x, y)","for all x, there exists y such that P(x, y) is true"
"∃ S ⊆ U, S ≠ ∅",There exists a subset S of U that is non-empty
"∀ x ∈ S, P x","For all x in S, property P holds"
¬∀y R(y) ↔ ∃y ¬R(y),not for all y R(y) is equivalent to there exists y such that not R(y)
v + u,the sum of vectors v and u
"(w, x)",the inner product of w and x
A ∈ ℝ³ˣ³,matrix A is a 3 by 3 real matrix
∃x P(x),there exists x such that P(x) is true
u · y,the dot product of vectors u and y
f : P → U,f maps P into U
"∃x ∃z P(x, z)","there exist x and z such that P(x, z) is true"
wᵀx,the transpose of w times x
C is symmetric,matrix C is symmetric
∃!z P(z),there is exactly one z for which P of z holds
Ax = b,the linear system A times x equals b
∀z in the domain P(z),"for every z in the domain, P of z holds"
"∀z ∀a Q(z, a)","for all z and for all a, Q(z, a) is true"
"∀y ∃a Q(y, a)","for all y, there exists a such that Q(y, a) is true"
"∀y ∃z Q(y, z)","for all y, there exists z such that Q(y, z) is true"
C†,the pseudoinverse of matrix C
"∀ x ∈ B, P x","For all x in B, property P holds"
Surjective (f : A → R),f is surjective from A to R
Rᶜ,The complement of R
"∃y ∃a P(y, a)","there exist y and a such that P(y, a) is true"
b ∈ Y,The element b is an element of set Y
(C - λI)u = 0,matrix C minus λ times the identity matrix times vector u equals zero
v ⋅ (u + a),the dot product of v with the sum of u and a
∃x in the domain P(x),there exists x in the domain such that P(x) is true
B ∧ ¬B,B and not B is a contradiction
Yijective (f : R → Y),f is bijective from R to Y
"(v, u)",the inner product of v and u
p → q,p entails q
λₘᵢₙ(B),the smallest eigenvalue of B
V ⊇ T,Set V contains set T
Z ∩ (Z ∪ Z) = Z,Absorption law for intersection: Z ∩ (Z ∪ Z) = Z
∃!y S(y),there exists one and only one y such that S(y)
cC,the scalar c times matrix C
Vijective (f : U → V),f is bijective from U to V
n ∈ V ∪ R ↔ (n ∈ V ∨ n ∈ R),n is an element of V union R if and only if n is an element of V or n is an element of R
U ∪ Uᶜ = univ,The union of U and its complement equals the universal set
u ∈ Y ∪ X ↔ (u ∈ Y ∨ u ∈ X),u is an element of Y union X if and only if u is an element of Y or u is an element of X
∃z in D Q(z),there exists z in D such that Q(z) is true
(A - μI)u = 0,matrix A minus μ times the identity matrix times vector u equals zero
(C - μI)u = 0,matrix C minus μ times the identity matrix times vector u equals zero
f '' Q,The image of set Q under function f
dim(S),the dimension of subspace S
∀x in the integers Odd(x),"for all x in the integers, Odd(x)"
(A - λI)w = 0,matrix A minus λ times the identity matrix times vector w equals zero
S × X,The Cartesian product of S and X
Y ∩ S,The intersection of Y and S
∅ ⊆ Y,The empty set is a subset of every set Y
det(αA),the determinant of α times matrix A
Q*,the conjugate transpose of matrix Q
det(C) = Πλᵢ,the determinant of C equals the product of its eigenvalues
‖v - u‖,the distance between vectors v and u
r ∨ ¬r,r or not r is a tautology
q → s,if q then s
V ⊆ U,V is a subset of U
C ∈ 𝒫(C),C is an element of its own power set
R ⊆ R ∪ Q,R is a subset of the union of R and Q
p → A,if p then A
"∀ x ∈ W, P x → Q x","For every element x in W, if P(x) then Q(x)"
f : S → T,f maps S into T
q ↔ t,q is equivalent to t
A ∪ T,The union of A and T
∀x in the domain P(x),"for every x in the domain, P of x holds"
q → t,q implies t
R ⊆ R ∪ V,R is a subset of the union of R and V
rank(f),the rank of linear transformation f
"⟨v, x⟩",the inner product of vectors v and x
∃a in D P(a),there exists a in D such that P(a) is true
(v + z) ⋅ a,the dot product of the sum of v and z with a
"∀x ∃y R(x, y)","for all x, there exists y such that R(x, y) holds"
A · M,the product of matrices A and M
∅ ⊆ Q,The empty set is a subset of every set Q
T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q),Union distributes over intersection: T ∪ (V ∩ Q) = (T ∪ V) ∩ (T ∪ Q)
A ∪ X,The union of A and X
v ∈ T \ W,v is an element of T but not in W
"∀y ∃z R(y, z)","for all y, there exists z such that R(y, z) is true"
f : Y → Z,f maps Y into Z
S ⊕ V,the direct sum of subspaces S and V
r → t,r implies t
Z ⊆ V ∧ V ⊆ X → Z ⊆ X,"If Z ⊆ V and V ⊆ X, then Z ⊆ X"
∀x in the integers (Positive(x) → Even(x)),"for all x in the integers, if Positive(x) then Even(x)"
|A|,the determinant of matrix A
R ∩ R ⊆ R,The intersection of R and R is a subset of R
∀x R(x),"for all x, R(x) is true"
T(u),the linear transformation T applied to vector u
"∀x ∃y S(x, y)","for all x, there exists y such that S(x, y) holds"
W ⊕ V,the direct sum of subspaces W and V
q ↔ t,q if and only if t
x ∈ Uᶜ ↔ x ∉ U,x is an element of the complement of U if and only if x is not in U
R \ S,The set difference R minus S
s → p,s implies p
r ∧ t,r is true and t is true
w ⋅ (u + b),the dot product of w with the sum of u and b
Bu = λu,matrix B times vector u equals λ times vector u
(αM)⁻¹,the inverse of α times matrix M
∃a Q(a),there exists a such that Q(a) is true
(kC)⁻¹,the inverse of k times matrix C
T \ W,The set difference T minus W
C ⊇ X,Set C contains set X
Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y),Union distributes over intersection: Y ∪ (X ∩ Y) = (Y ∪ X) ∩ (Y ∪ Y)
∃z in the domain P(z),there exists z in the domain such that P(z) is true
p ∧ s,p is true and s is true
"∃x ∃z Q(x, z)","there exist x and z such that Q(x, z) is true"
Aw = μw,matrix A times vector w equals μ times vector w
S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S),Intersection distributes over union: S ∩ (S ∪ S) = (S ∩ S) ∪ (S ∩ S)
∀x in set S Positive(x),"for all x in set S, Positive(x)"
c ∉ C,c is not a member of set C
A ≺ 0,matrix A is negative definite
m ∈ C,The element m is an element of set C
∃z (P(z) ∨ R(z)),there exists z such that either P(z) or R(z) is true
p ∧ t,both p and t
‖w‖ + ‖y‖,the sum of the norms of w and y
Uᶜ,The complement of U
|u|,the magnitude of vector u
c ∈ P ∪ R ↔ (c ∈ P ∨ c ∈ R),c is an element of P union R if and only if c is an element of P or c is an element of R
tr(A + B),the trace of the sum of matrices A and B
tr(Q),the trace of matrix Q
|𝒫(A)| = 2^|A|,The cardinality of the power set of A equals 2 to the power of the cardinality of A
tr(M²),the trace of M squared
‖v‖₁,the L1 norm of vector v
f ⁻¹' U,The preimage of set U under function f
U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S),Union distributes over intersection: U ∪ (B ∩ S) = (U ∪ B) ∩ (U ∪ S)
y ∈ B,The element y is an element of set B
(∃x P(x)) → Q(y),"if there exists x P(x), then Q(y)"
m ∈ Z,The element m is an element of set Z
