Symbolic_Maths,Natural_Language
‖v‖ₚ,the p-norm of vector v
|v|,the magnitude of vector v
‖w‖,the norm of vector w
‖w‖₂,the Euclidean norm of vector w
‖w‖₁,the L1 norm of vector w
‖w‖∞,the infinity norm of vector w
‖w‖ₚ,the p-norm of vector w
|w|,the magnitude of vector w
‖u‖,the norm of vector u
‖u‖₂,the Euclidean norm of vector u
‖u‖₁,the L1 norm of vector u
‖u‖∞,the infinity norm of vector u
‖u‖ₚ,the p-norm of vector u
|u|,the magnitude of vector u
‖x‖,the norm of vector x
‖x‖₂,the Euclidean norm of vector x
‖x‖₁,the L1 norm of vector x
‖x‖∞,the infinity norm of vector x
‖x‖ₚ,the p-norm of vector x
|x|,the magnitude of vector x
‖y‖,the norm of vector y
‖y‖₂,the Euclidean norm of vector y
‖y‖₁,the L1 norm of vector y
‖y‖∞,the infinity norm of vector y
‖y‖ₚ,the p-norm of vector y
|y|,the magnitude of vector y
‖z‖,the norm of vector z
‖z‖₂,the Euclidean norm of vector z
‖z‖₁,the L1 norm of vector z
‖z‖∞,the infinity norm of vector z
‖z‖ₚ,the p-norm of vector z
|z|,the magnitude of vector z
‖v - w‖,the distance between vectors v and w
"d(v, w)",the distance between vectors v and w
‖v - u‖,the distance between vectors v and u
"d(v, u)",the distance between vectors v and u
‖v - x‖,the distance between vectors v and x
"d(v, x)",the distance between vectors v and x
‖w - u‖,the distance between vectors w and u
"d(w, u)",the distance between vectors w and u
‖w - x‖,the distance between vectors w and x
"d(w, x)",the distance between vectors w and x
‖u - x‖,the distance between vectors u and x
"d(u, x)",the distance between vectors u and x
A = [Aᵢⱼ],the matrix A with entries A i j
Aᵢⱼ,the entry in row i and column j of matrix A
[A]ᵢⱼ,the i j entry of matrix A
A ∈ ℝᵐˣⁿ,matrix A is an m by n real matrix
A ∈ ℝⁿˣⁿ,matrix A is an n by n real matrix
A ∈ ℝ³ˣ³,matrix A is a 3 by 3 real matrix
A₃₃,the 3 by 3 matrix A
Aₘₙ,the m by n matrix A
Aᵀ,the transpose of matrix A
Aᵀᵀ,the transpose of the transpose of matrix A
(Aᵀ)ᵢⱼ,the i j entry of the transpose of matrix A
tr(A),the trace of matrix A
trace(A),the trace of matrix A
det(A),the determinant of matrix A
|A|,the determinant of matrix A
det A,the determinant of matrix A
A⁻¹,the inverse of matrix A
A*,the conjugate transpose of matrix A
B = [Bᵢⱼ],the matrix B with entries B i j
Bᵢⱼ,the entry in row i and column j of matrix B
[B]ᵢⱼ,the i j entry of matrix B
B ∈ ℝᵐˣⁿ,matrix B is an m by n real matrix
B ∈ ℝⁿˣⁿ,matrix B is an n by n real matrix
B ∈ ℝ³ˣ³,matrix B is a 3 by 3 real matrix
B₃₃,the 3 by 3 matrix B
Bₘₙ,the m by n matrix B
Bᵀ,the transpose of matrix B
Bᵀᵀ,the transpose of the transpose of matrix B
(Bᵀ)ᵢⱼ,the i j entry of the transpose of matrix B
tr(B),the trace of matrix B
trace(B),the trace of matrix B
det(B),the determinant of matrix B
|B|,the determinant of matrix B
det B,the determinant of matrix B
B⁻¹,the inverse of matrix B
B*,the conjugate transpose of matrix B
C = [Cᵢⱼ],the matrix C with entries C i j
Cᵢⱼ,the entry in row i and column j of matrix C
[C]ᵢⱼ,the i j entry of matrix C
C ∈ ℝᵐˣⁿ,matrix C is an m by n real matrix
C ∈ ℝⁿˣⁿ,matrix C is an n by n real matrix
C ∈ ℝ³ˣ³,matrix C is a 3 by 3 real matrix
C₃₃,the 3 by 3 matrix C
Cₘₙ,the m by n matrix C
Cᵀ,the transpose of matrix C
Cᵀᵀ,the transpose of the transpose of matrix C
(Cᵀ)ᵢⱼ,the i j entry of the transpose of matrix C
tr(C),the trace of matrix C
trace(C),the trace of matrix C
det(C),the determinant of matrix C
|C|,the determinant of matrix C
det C,the determinant of matrix C
C⁻¹,the inverse of matrix C
C*,the conjugate transpose of matrix C
M = [Mᵢⱼ],the matrix M with entries M i j
Mᵢⱼ,the entry in row i and column j of matrix M
[M]ᵢⱼ,the i j entry of matrix M
M ∈ ℝᵐˣⁿ,matrix M is an m by n real matrix
M ∈ ℝⁿˣⁿ,matrix M is an n by n real matrix
M ∈ ℝ³ˣ³,matrix M is a 3 by 3 real matrix
M₃₃,the 3 by 3 matrix M
Mₘₙ,the m by n matrix M
Mᵀ,the transpose of matrix M
Mᵀᵀ,the transpose of the transpose of matrix M
(Mᵀ)ᵢⱼ,the i j entry of the transpose of matrix M
tr(M),the trace of matrix M
trace(M),the trace of matrix M
det(M),the determinant of matrix M
|M|,the determinant of matrix M
det M,the determinant of matrix M
M⁻¹,the inverse of matrix M
M*,the conjugate transpose of matrix M
P = [Pᵢⱼ],the matrix P with entries P i j
Pᵢⱼ,the entry in row i and column j of matrix P
[P]ᵢⱼ,the i j entry of matrix P
P ∈ ℝᵐˣⁿ,matrix P is an m by n real matrix
P ∈ ℝⁿˣⁿ,matrix P is an n by n real matrix
P ∈ ℝ³ˣ³,matrix P is a 3 by 3 real matrix
P₃₃,the 3 by 3 matrix P
Pₘₙ,the m by n matrix P
Pᵀ,the transpose of matrix P
Pᵀᵀ,the transpose of the transpose of matrix P
(Pᵀ)ᵢⱼ,the i j entry of the transpose of matrix P
tr(P),the trace of matrix P
trace(P),the trace of matrix P
det(P),the determinant of matrix P
|P|,the determinant of matrix P
det P,the determinant of matrix P
P⁻¹,the inverse of matrix P
P*,the conjugate transpose of matrix P
Q = [Qᵢⱼ],the matrix Q with entries Q i j
Qᵢⱼ,the entry in row i and column j of matrix Q
[Q]ᵢⱼ,the i j entry of matrix Q
Q ∈ ℝᵐˣⁿ,matrix Q is an m by n real matrix
Q ∈ ℝⁿˣⁿ,matrix Q is an n by n real matrix
Q ∈ ℝ³ˣ³,matrix Q is a 3 by 3 real matrix
Q₃₃,the 3 by 3 matrix Q
Qₘₙ,the m by n matrix Q
Qᵀ,the transpose of matrix Q
Qᵀᵀ,the transpose of the transpose of matrix Q
(Qᵀ)ᵢⱼ,the i j entry of the transpose of matrix Q
tr(Q),the trace of matrix Q
trace(Q),the trace of matrix Q
det(Q),the determinant of matrix Q
|Q|,the determinant of matrix Q
det Q,the determinant of matrix Q
Q⁻¹,the inverse of matrix Q
Q*,the conjugate transpose of matrix Q
A + B,the sum of matrices A and B
A - B,the difference of matrices A and B
AB,the product of matrices A and B
A · B,the product of matrices A and B
kA,the scalar k times matrix A
cA,the scalar c times matrix A
AᵀB,the transpose of A times B
ABᵀ,matrix A times the transpose of B
AᵀBᵀ,the transpose of A times the transpose of B
det(AB),the determinant of the product of matrices A and B
|AB|,the determinant of the product of matrices A and B
A = B,matrix A equals matrix B
A ≈ B,matrix A is approximately equal to matrix B
A + C,the sum of matrices A and C
A - C,the difference of matrices A and C
AC,the product of matrices A and C
A · C,the product of matrices A and C
AᵀC,the transpose of A times C
ACᵀ,matrix A times the transpose of C
AᵀCᵀ,the transpose of A times the transpose of C
det(AC),the determinant of the product of matrices A and C
|AC|,the determinant of the product of matrices A and C
A = C,matrix A equals matrix C
A ≈ C,matrix A is approximately equal to matrix C
A + M,the sum of matrices A and M
A - M,the difference of matrices A and M
AM,the product of matrices A and M
A · M,the product of matrices A and M
AᵀM,the transpose of A times M
AMᵀ,matrix A times the transpose of M
AᵀMᵀ,the transpose of A times the transpose of M
det(AM),the determinant of the product of matrices A and M
|AM|,the determinant of the product of matrices A and M
A = M,matrix A equals matrix M
A ≈ M,matrix A is approximately equal to matrix M
A + P,the sum of matrices A and P
A - P,the difference of matrices A and P
AP,the product of matrices A and P
A · P,the product of matrices A and P
AᵀP,the transpose of A times P
APᵀ,matrix A times the transpose of P
AᵀPᵀ,the transpose of A times the transpose of P
det(AP),the determinant of the product of matrices A and P
|AP|,the determinant of the product of matrices A and P
A = P,matrix A equals matrix P
A ≈ P,matrix A is approximately equal to matrix P
B + C,the sum of matrices B and C
B - C,the difference of matrices B and C
BC,the product of matrices B and C
B · C,the product of matrices B and C
kB,the scalar k times matrix B
cB,the scalar c times matrix B
BᵀC,the transpose of B times C
BCᵀ,matrix B times the transpose of C
BᵀCᵀ,the transpose of B times the transpose of C
det(BC),the determinant of the product of matrices B and C
|BC|,the determinant of the product of matrices B and C
B = C,matrix B equals matrix C
B ≈ C,matrix B is approximately equal to matrix C
B + M,the sum of matrices B and M
B - M,the difference of matrices B and M
BM,the product of matrices B and M
B · M,the product of matrices B and M
BᵀM,the transpose of B times M
BMᵀ,matrix B times the transpose of M
BᵀMᵀ,the transpose of B times the transpose of M
det(BM),the determinant of the product of matrices B and M
|BM|,the determinant of the product of matrices B and M
B = M,matrix B equals matrix M
B ≈ M,matrix B is approximately equal to matrix M
B + P,the sum of matrices B and P
B - P,the difference of matrices B and P
BP,the product of matrices B and P
B · P,the product of matrices B and P
BᵀP,the transpose of B times P
BPᵀ,matrix B times the transpose of P
BᵀPᵀ,the transpose of B times the transpose of P
det(BP),the determinant of the product of matrices B and P
|BP|,the determinant of the product of matrices B and P
B = P,matrix B equals matrix P
B ≈ P,matrix B is approximately equal to matrix P
C + M,the sum of matrices C and M
C - M,the difference of matrices C and M
CM,the product of matrices C and M
C · M,the product of matrices C and M
kC,the scalar k times matrix C
cC,the scalar c times matrix C
CᵀM,the transpose of C times M
CMᵀ,matrix C times the transpose of M
CᵀMᵀ,the transpose of C times the transpose of M
M is upper triangular,matrix M is upper triangular
B is invertible,matrix B is invertible
C is positive definite,matrix C is positive definite
B is upper triangular,matrix B is upper triangular
0,the zero matrix
C is upper triangular,matrix C is upper triangular
A is lower triangular,matrix A is lower triangular
B is lower triangular,matrix B is lower triangular
A is singular,matrix A is singular
C is diagonal,matrix C is diagonal
B is symmetric,matrix B is symmetric
B is diagonal,matrix B is diagonal
C is symmetric,matrix C is symmetric
M is positive definite,matrix M is positive definite
M is orthogonal,matrix M is orthogonal
M is invertible,matrix M is invertible
C is lower triangular,matrix C is lower triangular
C is singular,matrix C is singular
Iₙ,the n by n identity matrix
B is positive definite,matrix B is positive definite
A is diagonal,matrix A is diagonal
A is invertible,matrix A is invertible
M is singular,matrix M is singular
A is orthogonal,matrix A is orthogonal
O,the zero matrix
A is symmetric,matrix A is symmetric
B is singular,matrix B is singular
M is diagonal,matrix M is diagonal
B is orthogonal,matrix B is orthogonal
M is symmetric,matrix M is symmetric
A is positive definite,matrix A is positive definite
I₃,the 3 by 3 identity matrix
C is invertible,matrix C is invertible
M is lower triangular,matrix M is lower triangular
0ₘₙ,the m by n zero matrix
I,the identity matrix
C is orthogonal,matrix C is orthogonal
A is upper triangular,matrix A is upper triangular
Av,matrix A times vector v
A · v,matrix A applied to vector v
T(v),the linear transformation T applied to vector v
L(v),the linear operator L applied to vector v
Aᵀv,the transpose of matrix A times vector v
Aw,matrix A times vector w
A · w,matrix A applied to vector w
T(w),the linear transformation T applied to vector w
L(w),the linear operator L applied to vector w
Aᵀw,the transpose of matrix A times vector w
Au,matrix A times vector u
A · u,matrix A applied to vector u
T(u),the linear transformation T applied to vector u
L(u),the linear operator L applied to vector u
Aᵀu,the transpose of matrix A times vector u
Ax,matrix A times vector x
A · x,matrix A applied to vector x
T(x),the linear transformation T applied to vector x
L(x),the linear operator L applied to vector x
Aᵀx,the transpose of matrix A times vector x
Bv,matrix B times vector v
B · v,matrix B applied to vector v
Bᵀv,the transpose of matrix B times vector v
Bw,matrix B times vector w
B · w,matrix B applied to vector w
Bᵀw,the transpose of matrix B times vector w
Bu,matrix B times vector u
B · u,matrix B applied to vector u
Bᵀu,the transpose of matrix B times vector u
Bx,matrix B times vector x
B · x,matrix B applied to vector x
Bᵀx,the transpose of matrix B times vector x
Cv,matrix C times vector v
C · v,matrix C applied to vector v
Cᵀv,the transpose of matrix C times vector v
Cw,matrix C times vector w
C · w,matrix C applied to vector w
Cᵀw,the transpose of matrix C times vector w
Cu,matrix C times vector u
C · u,matrix C applied to vector u
Cᵀu,the transpose of matrix C times vector u
Cx,matrix C times vector x
C · x,matrix C applied to vector x
Cᵀx,the transpose of matrix C times vector x
Av = λv,matrix A times vector v equals λ times vector v
Av = λv,the matrix A times vector v equals the scalar lambda times vector v
(A - λI)v = 0,matrix A minus λ times the identity matrix times vector v equals zero
det(A - λI) = 0,the determinant of matrix A minus λ times the identity equals zero
Av = μv,matrix A times vector v equals μ times vector v
(A - μI)v = 0,matrix A minus μ times the identity matrix times vector v equals zero
det(A - μI) = 0,the determinant of matrix A minus μ times the identity equals zero
Aw = λw,matrix A times vector w equals λ times vector w
Aw = λw,the matrix A times vector w equals the scalar lambda times vector w
(A - λI)w = 0,matrix A minus λ times the identity matrix times vector w equals zero
Aw = μw,matrix A times vector w equals μ times vector w
(A - μI)w = 0,matrix A minus μ times the identity matrix times vector w equals zero
Au = λu,matrix A times vector u equals λ times vector u
Au = λu,the matrix A times vector u equals the scalar lambda times vector u
(A - λI)u = 0,matrix A minus λ times the identity matrix times vector u equals zero
Au = μu,matrix A times vector u equals μ times vector u
(A - μI)u = 0,matrix A minus μ times the identity matrix times vector u equals zero
Bv = λv,matrix B times vector v equals λ times vector v
(B - λI)v = 0,matrix B minus λ times the identity matrix times vector v equals zero
det(B - λI) = 0,the determinant of matrix B minus λ times the identity equals zero
Bv = μv,matrix B times vector v equals μ times vector v
(B - μI)v = 0,matrix B minus μ times the identity matrix times vector v equals zero
det(B - μI) = 0,the determinant of matrix B minus μ times the identity equals zero
Bw = λw,matrix B times vector w equals λ times vector w
(B - λI)w = 0,matrix B minus λ times the identity matrix times vector w equals zero
Bw = μw,matrix B times vector w equals μ times vector w
(B - μI)w = 0,matrix B minus μ times the identity matrix times vector w equals zero
Bu = λu,matrix B times vector u equals λ times vector u
(B - λI)u = 0,matrix B minus λ times the identity matrix times vector u equals zero
Bu = μu,matrix B times vector u equals μ times vector u
(B - μI)u = 0,matrix B minus μ times the identity matrix times vector u equals zero
Cv = λv,matrix C times vector v equals λ times vector v
(C - λI)v = 0,matrix C minus λ times the identity matrix times vector v equals zero
det(C - λI) = 0,the determinant of matrix C minus λ times the identity equals zero
Cv = μv,matrix C times vector v equals μ times vector v
(C - μI)v = 0,matrix C minus μ times the identity matrix times vector v equals zero
det(C - μI) = 0,the determinant of matrix C minus μ times the identity equals zero
Cw = λw,matrix C times vector w equals λ times vector w
(C - λI)w = 0,matrix C minus λ times the identity matrix times vector w equals zero
Cw = μw,matrix C times vector w equals μ times vector w
(C - μI)w = 0,matrix C minus μ times the identity matrix times vector w equals zero
Cu = λu,matrix C times vector u equals λ times vector u
(C - λI)u = 0,matrix C minus λ times the identity matrix times vector u equals zero
Cu = μu,matrix C times vector u equals μ times vector u
(C - μI)u = 0,matrix C minus μ times the identity matrix times vector u equals zero
Mv = λv,matrix M times vector v equals λ times vector v
(M - λI)v = 0,matrix M minus λ times the identity matrix times vector v equals zero
det(M - λI) = 0,the determinant of matrix M minus λ times the identity equals zero
Mv = μv,matrix M times vector v equals μ times vector v
(M - μI)v = 0,matrix M minus μ times the identity matrix times vector v equals zero
det(M - μI) = 0,the determinant of matrix M minus μ times the identity equals zero
ℝⁿ,the n-dimensional real coordinate space
ℝ²,the 2-dimensional real coordinate space
ℝ³,the 3-dimensional real coordinate space
ℝ⁴,the 4-dimensional real coordinate space
ℂⁿ,the n-dimensional complex coordinate space
ℂ²,the 2-dimensional complex coordinate space
ℂ³,the 3-dimensional complex coordinate space
v ∈ ℝⁿ,vector v is in the n-dimensional real space
v ∈ ℝ³,vector v is in 3-dimensional real space
"span(v₁, v₂, ..., vₖ)","the span of vectors v1, v2, through vk"
"span{v₁, v₂, v₃}","the span of vectors v1, v2, and v3"
dim(V),the dimension of vector space V
rank(A),the rank of matrix A
null(A),the null space of matrix A
ker(A),the kernel of matrix A
im(A),the image of matrix A
range(A),the range of matrix A
col(A),the column space of matrix A
row(A),the row space of matrix A
w ∈ ℝⁿ,vector w is in the n-dimensional real space
w ∈ ℝ³,vector w is in 3-dimensional real space
"span(w₁, w₂, ..., wₖ)","the span of vectors w1, w2, through wk"
u ∈ ℝⁿ,vector u is in the n-dimensional real space
u ∈ ℝ³,vector u is in 3-dimensional real space
"span(u₁, u₂, ..., uₖ)","the span of vectors u1, u2, through uk"
x ∈ ℝⁿ,vector x is in the n-dimensional real space
x ∈ ℝ³,vector x is in 3-dimensional real space
"span(x₁, x₂, ..., xₖ)","the span of vectors x1, x2, through xk"
Av = w,the linear system A times v equals w
Ax = b,the linear system A times x equals b
Ax = 0,the homogeneous linear system A times x equals zero
Av = λv,the eigenvalue equation A times v equals lambda times v
Av = u,the linear system A times v equals u
Av = x,the linear system A times v equals x
Aw = u,the linear system A times w equals u
Aw = λw,the eigenvalue equation A times w equals lambda times w
Aw = x,the linear system A times w equals x
Au = x,the linear system A times u equals x
Au = λu,the eigenvalue equation A times u equals lambda times u
Bv = w,the linear system B times v equals w
Bx = b,the linear system B times x equals b
Bv = λv,the eigenvalue equation B times v equals lambda times v
Bv = u,the linear system B times v equals u
Bv = x,the linear system B times v equals x
Bw = u,the linear system B times w equals u
Bw = λw,the eigenvalue equation B times w equals lambda times w
Bw = x,the linear system B times w equals x
Bu = x,the linear system B times u equals x
Bu = λu,the eigenvalue equation B times u equals lambda times u
A = LU,matrix A equals L times U
LU,the LU decomposition
A = QR,matrix A equals Q times R
QR,the QR decomposition
A = UΣVᵀ,matrix A equals U times Sigma times V transpose
SVD(A),the singular value decomposition of matrix A
A = PDP⁻¹,matrix A equals P times D times P inverse
A = QΛQᵀ,matrix A equals Q times Lambda times Q transpose
A = LLᵀ,matrix A equals L times L transpose
chol(A),the Cholesky decomposition of matrix A
B = LU,matrix B equals L times U
B = QR,matrix B equals Q times R
B = UΣVᵀ,matrix B equals U times Sigma times V transpose
SVD(B),the singular value decomposition of matrix B
B = PDP⁻¹,matrix B equals P times D times P inverse
B = QΛQᵀ,matrix B equals Q times Lambda times Q transpose
B = LLᵀ,matrix B equals L times L transpose
chol(B),the Cholesky decomposition of matrix B
C = LU,matrix C equals L times U
C = QR,matrix C equals Q times R
C = UΣVᵀ,matrix C equals U times Sigma times V transpose
SVD(C),the singular value decomposition of matrix C
C = PDP⁻¹,matrix C equals P times D times P inverse
C = QΛQᵀ,matrix C equals Q times Lambda times Q transpose
C = LLᵀ,matrix C equals L times L transpose
chol(C),the Cholesky decomposition of matrix C
M = LU,matrix M equals L times U
M = QR,matrix M equals Q times R
M = UΣVᵀ,matrix M equals U times Sigma times V transpose
SVD(M),the singular value decomposition of matrix M
M = PDP⁻¹,matrix M equals P times D times P inverse
M = QΛQᵀ,matrix M equals Q times Lambda times Q transpose
M = LLᵀ,matrix M equals L times L transpose
chol(M),the Cholesky decomposition of matrix M
‖A‖,the norm of matrix A
‖A‖₂,the 2-norm of matrix A
‖A‖_F,the Frobenius norm of matrix A
‖A‖₁,the 1-norm of matrix A
‖A‖∞,the infinity norm of matrix A
‖A‖*,the nuclear norm of matrix A
‖B‖,the norm of matrix B
‖B‖₂,the 2-norm of matrix B
‖B‖_F,the Frobenius norm of matrix B
‖B‖₁,the 1-norm of matrix B
‖B‖∞,the infinity norm of matrix B
‖B‖*,the nuclear norm of matrix B
‖C‖,the norm of matrix C
‖C‖₂,the 2-norm of matrix C
‖C‖_F,the Frobenius norm of matrix C
‖C‖₁,the 1-norm of matrix C
‖C‖∞,the infinity norm of matrix C
‖C‖*,the nuclear norm of matrix C
‖M‖,the norm of matrix M
‖M‖₂,the 2-norm of matrix M
‖M‖_F,the Frobenius norm of matrix M
‖M‖₁,the 1-norm of matrix M
‖M‖∞,the infinity norm of matrix M
‖M‖*,the nuclear norm of matrix M
"⟨v, w⟩",the inner product of v and w
"(v, w)",the inner product of v and w
v ⊥ w,vector v is orthogonal to vector w
v ∥ w,vector v is parallel to vector w
"⟨v, u⟩",the inner product of v and u
"(v, u)",the inner product of v and u
v ⊥ u,vector v is orthogonal to vector u
v ∥ u,vector v is parallel to vector u
"⟨v, x⟩",the inner product of v and x
"(v, x)",the inner product of v and x
v ⊥ x,vector v is orthogonal to vector x
v ∥ x,vector v is parallel to vector x
"⟨w, u⟩",the inner product of w and u
"(w, u)",the inner product of w and u
w ⊥ u,vector w is orthogonal to vector u
w ∥ u,vector w is parallel to vector u
"⟨w, x⟩",the inner product of w and x
"(w, x)",the inner product of w and x
w ⊥ x,vector w is orthogonal to vector x
w ∥ x,vector w is parallel to vector x
"⟨u, x⟩",the inner product of u and x
"(u, x)",the inner product of u and x
u ⊥ x,vector u is orthogonal to vector x
u ∥ x,vector u is parallel to vector x
proj_v(u),the projection of u onto v
proj_V(u),the projection of u onto subspace V
u ⊥ v,u is orthogonal to v
V⊥,the orthogonal complement of V
orthogonal basis,an orthogonal basis
orthonormal basis,an orthonormal basis
vᵀAv,the quadratic form v transpose A v
xᵀAx,the quadratic form x transpose A x
wᵀAw,the quadratic form w transpose A w
uᵀAu,the quadratic form u transpose A u
vᵀBv,the quadratic form v transpose B v
wᵀBw,the quadratic form w transpose B w
uᵀBu,the quadratic form u transpose B u
vᵀCv,the quadratic form v transpose C v
wᵀCw,the quadratic form w transpose C w
uᵀCu,the quadratic form u transpose C u
A⁺,the Moore-Penrose pseudoinverse of matrix A
pinv(A),the pseudoinverse of matrix A
A†,the pseudoinverse of matrix A
B⁺,the Moore-Penrose pseudoinverse of matrix B
pinv(B),the pseudoinverse of matrix B
B†,the pseudoinverse of matrix B
C⁺,the Moore-Penrose pseudoinverse of matrix C
pinv(C),the pseudoinverse of matrix C
C†,the pseudoinverse of matrix C
cond(A),the condition number of matrix A
κ(A),the condition number of matrix A
cond(B),the condition number of matrix B
κ(B),the condition number of matrix B
e₁,the first standard basis vector
e₂,the second standard basis vector
