Symbolic_Maths,Natural_Language
AᵀPᵀ,the transpose of A times the transpose of P
"∃x ∀y R(x, y)","there exists x such that for all y, R(x, y) holds"
∀y P(y),"for all y, P(y) is true"
r ∨ s,either r or s
∃!z P(z),there exists a unique z such that P(z) is true
‖v - x‖,the distance between vectors v and x
∃!y R(y),there exists one and only one y such that R(y)
∃!z Q(z),there exists a unique z such that Q(z) is true
A†,the pseudoinverse of matrix A
∃!y S(y),there is exactly one y for which S of y holds
"∀y ∃a P(y, a)","for all y, there exists a such that P(y, a) is true"
∀z in the domain P(z),"for every z in the domain, P of z holds"
(p ∧ r) → (s ∨ q),if both p and r then either s or q
w ∈ ℝ³,vector w is in 3-dimensional real space
λ2(B),the second eigenvalue of matrix B
p → q,p implies q
∃!z S(z),there is exactly one z for which S of z holds
¬∀x Q(x) ↔ ∃x ¬Q(x),not for all x Q(x) is equivalent to there exists x such that not Q(x)
∃x in the domain P(x),there is some x in the domain for which P of x holds
∃y (P(y) → S(y)),there exists y such that if P(y) then S(y)
B ∈ ℝ³ˣ³,matrix B is a 3 by 3 real matrix
q ∨ t,q is true or t is true
r → (p → (q → s)),if r then if p then if q then s
(p ∨ s) ∧ (q ∨ r),"either p or s, and either q or r"
A⁻²,the inverse of A squared
‖M‖*,the nuclear norm of matrix M
t ∨ A,t or A
wᵀy,the transpose of w times y
∃z (P(z) → R(z)),there exists z such that if P(z) then R(z)
(A + B)⁻¹,the inverse of the sum of matrices A and B
det(αC),the determinant of α times matrix C
cB,the scalar c times matrix B
cA,the scalar c times matrix A
wᵀu,the transpose of w times u
Bⁿ,matrix B to the power n
comp_w(v),the component of v along w
A = M,matrix A equals matrix M
BᵀMᵀ,the transpose of B times the transpose of M
tr(C + M),the trace of the sum of matrices C and M
uᵀCu,the quadratic form u transpose C u
∃x in the domain D Even(x),there exists x in the domain D such that Even(x)
¬A,not A
"span{v₁, v₂, v₃}","the span of vectors {v₁, v₂, v₃}"
B + P,the sum of matrices B and P
∀y (P(y) → Q(y)),"for all y, if P(y) then Q(y)"
"∃x ∃y (∀z P(z, x) ∧ ∀z Q(z, y))","there exist x and y such that for all z, P(z, x) and for all z, Q(z, y)"
p ∧ ⊤ ↔ p,p and true is equivalent to p
(p ↔ s) ∧ (q ↔ r),"p if and only if s, and q if and only if r"
∀x in the natural numbers (Prime(x) → Positive(x)),"for all x in the natural numbers, if Prime(x) then Positive(x)"
∃z (R(z) ∧ S(z)),there exists z such that both R(z) and S(z) are true
v + w + a,"the sum of vectors v, w, and a"
A = P,matrix A equals matrix P
r ∨ A,either r or A
SVD(M),the singular value decomposition of matrix M
x = [x₁; x₂; x₃],"the column vector x with components x1, x2, and x3"
r ∧ t,r is true and t is true
CᵀM,the transpose of C times M
Bv = u,the linear system B times v equals u
∃y Q(y),there exists y such that Q(y) is true
"∀x R(x, x)","for all x, R(x, x) holds"
"u = [u₁, u₂, ..., uₙ]","the vector u with components u1, u2, through un"
(A + M)⁻¹,the inverse of the sum of matrices A and M
"∀z, Q(z)","for all z, Q(z)"
w = [w₁; w₂; w₃],"the column vector w with components w1, w2, and w3"
‖v + x‖²,the squared norm of the sum of v and x
"∀x ∀a P(x, a)","for all x and for all a, P(x, a) is true"
(p ∨ q) → r,if either p or q then r
p ∨ t,p is true or t is true
"v = [v₁, v₂, v₃]","the vector v with components v1, v2, and v3"
p → r,if p then r
s → p,if s then p
(kA)ᵀ,the transpose of k times matrix A
σ3(B),the third singular value of matrix B
∀x R(x),"for every x, R of x holds"
p ∨ s,p or s
q ↔ t,q and t have the same truth value
∃x in set S Positive(x),there exists x in set S such that Positive(x)
C is diagonal,matrix C is diagonal
p ↔ t,p is true if and only if t is true
A is orthogonal,matrix A is orthogonal
q → s,if q is true then s is true
Av = w,the linear system A times v equals w
(p ↔ q) ∧ (s ↔ r),"p if and only if q, and s if and only if r"
A · v,matrix A applied to vector v
(q ∧ r) ∨ p,"either both q and r, or p"
u ∈ ℝ³,vector u is in 3-dimensional real space
q → (p → (s → r)),if q then if p then if s then r
"∀x ∃y Loves(x, y)","for all x, there exists y such that Loves(x, y) holds"
∀x (P(x) ↔ S(x)),"for all x, P(x) if and only if S(x)"
s → q,if s then q
p → t,p entails t
AMᵀ,matrix A times the transpose of M
∀x in set S Even(x),"for all x in set S, Even(x)"
p ↔ q,p is true if and only if q is true
∀x in the real numbers Prime(x),"for all x in the real numbers, Prime(x)"
v ⊥ u,vector v is orthogonal to vector u
B · M,the product of matrices B and M
¬(p ∨ q ∨ r) ↔ (¬p ∧ ¬q ∧ ¬r),"not any of p, q, or r is equivalent to not p, and not q, and not r"
‖w‖ + ‖y‖,the sum of the norms of w and y
x ∈ ℝⁿ,vector x is in the n-dimensional real space
(r ∧ s) → (q ∨ p),if both r and s then either q or p
∀z in D P(z),"for all z in D, P(z) is true"
‖v - w‖,the distance between vectors v and w
proj_x(u),the projection of u onto x
¬p,not p
∃y (Q(y) → R(y)),there exists y such that if Q(y) then R(y)
u - x,the difference of vectors u and x
∃x in D Q(x),there exists x in D such that Q(x) is true
λₘₐₓ(C),the largest eigenvalue of C
p → (q ∧ r),if p then both q and r
∀z in D P(z),"for every z in D, P of z holds"
(p ∨ A),p or A
∃!x R(x),there exists one and only one x such that R(x)
v - u,the difference of vectors v and u
im(A),the image of matrix A
q ↔ t,q if and only if t
v · u,the dot product of vectors v and u
v ∧ y,the wedge product of vectors v and y
∀y (P(y) → R(y)),"for all y, if P(y) then R(y)"
"∀x ∀y (S(x, y) → S(y, x))","for all x and y, if S(x, y) then S(y, x)"
U ∩ V,the intersection of subspaces U and V
V*,the dual space of V
p ∧ q,p and q
‖A‖*,the nuclear norm of matrix A
¬C,not C
"∃y ∃z Q(y, z)","there exist y and z such that Q(y, z) is true"
"∀x ∀y R(x, y)","for all x and y, R(x, y) holds"
(s ∧ r) → (q ∨ p),if both s and r then either q or p
det(Q),the determinant of matrix Q
nullity(A),the nullity of matrix A
proj_V(u),the projection of u onto subspace V
det(B - λI) = 0,the determinant of matrix B minus λ times the identity equals zero
log(C),the matrix logarithm of C
null(T),the null space of linear transformation T
t ↔ A,t is true if and only if A is true
((p ∨ q) ∧ ¬p) → q,"if p or q and not p, then q"
(p ↔ r) ∧ (s ↔ q),"p if and only if r, and s if and only if q"
C = QR,matrix C equals Q times R
"∀x, R(x)","for all x, R(x)"
(kA)⁻¹,the inverse of k times matrix A
v ⋅ w,the dot product of vectors v and w
"d(v, w)",the distance between vectors v and w
"[u₁, u₂, u₃]","the vector with components u1, u2, and u3"
p → (q ∧ r) ↔ (p → q) ∧ (p → r),"if p then both q and r is equivalent to if p then q, and if p then r"
∀x (P(x) → Q) ↔ (∃x P(x) → Q),fot all x if P(x) then Q is esuivalent to if thete exists x P(x) then Q
x ∈ ℝ³,vector x is in 3-dimensional real space
(CM)ᵀ,the transpose of the product of matrices C and M
(r ∧ p) → q,if both r and p then q
q ∧ s,q and s
Mⁿ,matrix M to the power n
Aw = x,the linear system A times w equals x
∀x in the domain D Prime(x),"for all x in the domain D, Prime(x)"
Av,matrix A times vector v
"∃x in D, Q(x)",there exists x in D such that Q(x)
tr(Q),the trace of matrix Q
∃x in D R(x),there exists x in D such that R(x) is true
(v + y) ⋅ a,the dot product of the sum of v and y with a
∃x in D R(x),there is some x in D for which R of x holds
T: ℝⁿ → ℝᵐ,T is a linear transformation from n-dimensional to m-dimensional real space
s ∧ A,s and A
A → p,A implies p
∃z P(z),there exists z such that P(z) is true
A²,matrix A squared
S⊥,the orthogonal complement of subspace S
det(kC),the determinant of k times matrix C
p → r,if p is true then r is true
"∀x ∃a P(x, a)","for all x, there exists a such that P(x, a) is true"
w ⊥ u,vector w is orthogonal to vector u
M is invertible,matrix M is invertible
"∀x ∃y ∀z P(x, y, z)","for all x, there exists y such that for all z, P(x, y, z)"
(p ↔ q) ↔ ((p → q) ∧ (q → p)),p if and only if q is equivalent to if p then q and if q then p
"∃y in the domain, Q(y)",there exists y in the domain such that Q(y)
∃x (P(x) ∧ R(x)),there exists x such that both P(x) and R(x) are true
kw,the scalar k times vector w
v · y,the dot product of vectors v and y
(cA)ᵀ,the transpose of c times matrix A
Cᵀx,the transpose of matrix C times vector x
dim(U ⊕ V) = dim(U) + dim(V),the dimension of the direct sum equals the sum of dimensions
q ↔ s,q is equivalent to s
"∃y ∃z R(y, z)","there exist y and z such that R(y, z) is true"
p ∧ t,p and t
p ∨ (q ∧ r),p or both q and r
r ∧ t,both r and t
w ∧ u,the wedge product of vectors w and u
e₃,the third standard basis vector
q ∨ s,either q or s
∃x (P(x) ∧ S(x)),there exists x such that both P(x) and S(x) are true
"[w₁, w₂, w₃]","the vector with components w1, w2, and w3"
det(BP),the determinant of the product of matrices B and P
"∃y in the domain, P(y)",there exists y in the domain such that P(y)
∃x in the natural numbers Even(x),there exists x in the natural numbers such that Even(x)
"∃x ∀z P(x, z)","there exists x such that for all z, P(x, z) is true"
‖v‖₁,the L1 norm of vector v
vᵀBv,the quadratic form v transpose B v
∀x in set S Positive(x),"for all x in set S, Positive(x)"
V ⊕ V,the direct sum of subspaces V and V
"∀x ∃z P(x, z)","for all x, there exists z such that P(x, z) is true"
(r ∨ p) ∧ q,"either r or p, and also q"
C is symmetric,matrix C is symmetric
s → A,if s then A
∃!z R(z),there exists one and only one z such that R(z)
∀x (P(x) ↔ Q(x)),"for all x, P(x) if and only if Q(x)"
"∀a, Q(a)","for all a, Q(a)"
basis for V,a basis for vector space V
v1(A),the first eigenvector of matrix A
(B + C)ᵀ,the transpose of the sum of matrices B and C
pinv(C),the pseudoinverse of matrix C
C is singular,matrix C is singular
"⟨u, y⟩",the inner product of vectors u and y
(r ↔ q) ∧ (s ↔ p),"r if and only if q, and s if and only if p"
det(αM),the determinant of α times matrix M
q ∧ ¬q,q and not q is a contradiction
‖v‖ₚ,the p-norm of vector v
∃x in the integers (Prime(x) ∧ Positive(x)),there exists x in the integers such that both Prime(x) and Positive(x)
(r ∨ q) ∧ p,"either r or q, and also p"
vᵀ,the transpose of vector v
∀x (Q(x) ↔ R(x)),"for all x, Q(x) if and only if R(x)"
AᵀP,the transpose of A times P
r ∧ A,r and A
(p → q) ∧ (p ∧ ¬q),"if p then q, and p and not q, is a contradiction"
u + y,the sum of vectors u and y
√A,the matrix square root of A
p → t,if p is true then t is true
cond(A),the condition number of matrix A
∃z (Q(z) → S(z)),there exists z such that if Q(z) then S(z)
u ∧ x,the wedge product of vectors u and x
‖v‖ + ‖x‖,the sum of the norms of v and x
A is symmetric,matrix A is symmetric
σ₁(C) ≥ σ₂(C) ≥ ... ≥ σᵣ(C),the singular values of C in descending order
(p ∨ r) ∧ q,"either p or r, and also q"
trace(Q),the trace of matrix Q
v ⋅ (y + b),the dot product of v with the sum of y and b
v ⊥ x,vector v is orthogonal to vector x
p ∨ ⊤ ↔ ⊤,p or true is equivalent to true
f(v + w),f applied to the sum of v and w
s ∧ t,s is true and t is true
"∀z ∀a P(z, a)","for all z and for all a, P(z, a) is true"
∃y (Q(y) → S(y)),there exists y such that if Q(y) then S(y)
(A + M)ᵀ,the transpose of the sum of matrices A and M
∃x in the natural numbers (Prime(x) ∧ Positive(x)),there exists x in the natural numbers such that both Prime(x) and Positive(x)
r ∧ s,r is true and s is true
r → p,if r then p
p → (p ∨ q),if p then p or q
(p ∧ s) → (r ∨ q),if both p and s then either r or q
(p ∨ r) ∧ (q ∨ s),"either p or r, and either q or s"
V⊥,the orthogonal complement of V
SVD(A),the singular value decomposition of matrix A
v × y,the cross product of vectors v and y
ĵ,the unit vector in the y direction
"z = [z₁, z₂, z₃]","the vector z with components z1, z2, and z3"
"∀x ∀z R(x, z)","for all x and for all z, R(x, z) is true"
wᵀCw,the quadratic form w transpose C w
(r ∧ q) → (p ∨ s),if both r and q then either p or s
t → q,t implies q
det Q,the determinant of matrix Q
"∀y ∀z R(y, z)","for all y and for all z, R(y, z) is true"
(p ∨ q) ∧ (r ∨ s),"either p or q, and either r or s"
Av = λv,the eigenvalue equation A times v equals lambda times v
r ↔ t,r if and only if t
(p ∧ q) ∧ r ↔ p ∧ (q ∧ r),p and q and r is associative
∃x (P(x) ∨ S(x)),there exists x such that either P(x) or S(x) is true
∃z in D Q(z),there is some z in D for which Q of z holds
w ∧ y,the wedge product of vectors w and y
-u,the negative of vector u
t → r,if t then r
∃x in the domain P(x),there exists x in the domain such that P(x) is true
∃x in the domain D Odd(x),there exists x in the domain D such that Odd(x)
q ↔ A,q if and only if A
∃x (Q(x) ∨ S(x)),there exists x such that either Q(x) or S(x) is true
(q ↔ s) ∧ (p ↔ r),"q if and only if s, and p if and only if r"
(q ∨ r),q or r
(q ∨ p) ∧ r,"either q or p, and also r"
Aᵀv,the transpose of matrix A times vector v
∃y (P(y) ∧ Q(y)),there exists y such that both P(y) and Q(y) are true
Aw = λw,the eigenvalue equation A times w equals lambda times w
λ1(A),the first eigenvalue of matrix A
dim(V),the dimension of vector space V
"∀x ∀y (Loves(x, y) → Loves(y, x))","for all x and y, if Loves(x, y) then Loves(y, x)"
det(A - λI),the characteristic polynomial of matrix A
(q ∧ p) ∨ r,"either both q and p, or r"
A + M,the sum of matrices A and M
∀y P(y),"for every y, P of y holds"
(αB)ᵀ,the transpose of α times matrix B
(∃x P(x)) → Q(y),"if there exists x P(x), then Q(y)"
s ∨ A,either s or A
BC,the product of matrices B and C
"⟨v, u⟩",the inner product of v and u
p ↔ A,p if and only if A
∃y in the domain Q(y),there is some y in the domain for which Q of y holds
p ↔ s,p is true if and only if s is true
(r ∨ q) → p,if either r or q then p
p ∨ A,either p or A
C₃₃,the 3 by 3 matrix C
∀y in D Q(y),"for all y in D, Q(y) is true"
∃x (Q(x) → S(x)),there exists x such that if Q(x) then S(x)
A ⪰ 0,matrix A is positive semidefinite
proj_w(v),the projection of v onto w
B - C,the difference of matrices B and C
A → p,if A then p
∀x in the integers Even(x),"for all x in the integers, Even(x)"
∃!x P(x),there exists one and only one x such that P(x)
(M - μI)v = 0,matrix M minus μ times the identity matrix times vector v equals zero
∀x (R(x) ↔ S(x)),"for all x, R(x) if and only if S(x)"
w ⊗ u,the tensor product of w and u
∂A/∂t,the partial derivative of matrix A with respect to t
"span(w₁, w₂, ..., wₖ)","the span of vectors w1, w2, through wk"
C³,matrix C cubed
B is orthogonal,matrix B is orthogonal
ℂⁿ,the n-dimensional complex coordinate space
u × y,the cross product of vectors u and y
(v - z) × b,the cross product of the difference of v and z with b
tr(kB),the trace of k times matrix B
∀y (P(y) ∨ R(y)),"for all y, either P(y) or R(y) is true"
p ∨ (q ∧ r) ↔ (p ∨ q) ∧ (p ∨ r),"p or both q and r is equivalent to both p or q, and p or r"
A³,matrix A cubed
(M - λI)v = 0,matrix M minus λ times the identity matrix times vector v equals zero
tr(C²),the trace of C squared
M = [Mᵢⱼ],the matrix M with entries M i j
(q ∧ r),q and r
"{v₁, v₂, v₃} is linearly dependent","the vectors {v₁, v₂, v₃} are linearly dependent"
"block diag(A₁, A₂, A₃)","the block diagonal matrix with blocks A1, A2, and A3"
wᵀx,the transpose of w times x
‖w‖₁,the L1 norm of vector w
∀x (R(x) ∧ S(x)),"for all x, both R(x) and S(x) are true"
((A → B) ∧ ¬B) → ¬A,"if A imAlies B and not B, then not A"
(w - x) × a,the cross product of the difference of w and x with a
(r ∧ p) → (q ∨ s),if both r and p then either q or s
∀x (P(x) ↔ R(x)),"for all x, P(x) if and only if R(x)"
r ∧ A,both r and A
σ1(B),the first singular value of matrix B
σ2(A),the second singular value of matrix A
∀x in the real numbers (Prime(x) → Positive(x)),"for all x in the real numbers, if Prime(x) then Positive(x)"
t ∧ A,t is true and A is true
vᵀAv,the quadratic form v transpose A v
[w₁ w₂ w₃],"the row vector with components w1, w2, and w3"
det(C) = Πλᵢ,the determinant of C equals the product of its eigenvalues
(kC)⁻¹,the inverse of k times matrix C
chol(M),the Cholesky decomposition of matrix M
∀x (P(x) ∨ S(x)),"for all x, either P(x) or S(x) is true"
"∃z in the domain, P(z)",there exists z in the domain such that P(z)
((A ∨ B) ∧ ¬A) → B,"if A or B and not A, then B"
q ∨ r,q is true or r is true
ℝⁿ,the n-dimensional real coordinate space
proj_v(u),the projection of u onto v
(s ∧ q) → (p ∨ r),if both s and q then either p or r
A → t,A implies t
∀z (P(z) ∧ Q(z)),"for all z, both P(z) and Q(z) are true"
w ⋅ y,the dot product of vectors w and y
‖A‖_F,the Frobenius norm of matrix A
B⁻²,the inverse of B squared
"∀z in the domain, Q(z)","for all z in the domain, Q(z)"
∀x in D R(x),"for every x in D, R of x holds"
rank(B),the rank of matrix B
∃x (P(x) ∧ Q(x)) → (∃x P(x)) ∧ (∃x Q(x)),"if thete exists x such that P(x) and Q(x), then thete exists x P(x) and thete exists x Q(x)"
∀x P(x) ∧ ∃x ¬P(x),for all x P(x) and there exists x such that not P(x) is a contradiction
(p ∧ q),p and q
∀z (Q(z) ∨ R(z)),"for all z, either Q(z) or R(z) is true"
B · x,matrix B applied to vector x
"∀x ∀y ∀z ((R(x, y) ∧ R(y, z)) → R(x, z))","for all x, y, and z, if R(x, y) and R(y, z) then R(x, z)"
∃z (P(z) → Q(z)),there exists z such that if P(z) then Q(z)
∀z (Q(z) → z = a),"for all z, if Q(z) then z equals a"
p ∧ s,both p and s
∃x in the real numbers (Prime(x) ∧ Positive(x)),there exists x in the real numbers such that both Prime(x) and Positive(x)
p → (s → (q → r)),if p then if s then if q then r
ℝ³,the 3-dimensional real coordinate space
A is positive definite,matrix A is positive definite
∀x in the real numbers (Positive(x) → Even(x)),"for all x in the real numbers, if Positive(x) then Even(x)"
∀y in D P(y),"for every y in D, P of y holds"
r ∨ s,r or s
p ∨ q,p or q
-w,the negative of vector w
∀x in D Q(x),"for every x in D, Q of x holds"
(r ∧ s) → r,if r and s then r
(p → q) ↔ (¬q → ¬p),if p then q is equivalent to if not q then not p
BᵀP,the transpose of B times P
"⟨{v₁, v₂, v₃}⟩","the subspace generated by vectors {v₁, v₂, v₃}"
Bx = b,the linear system B times x equals b
M = UΣVᵀ,matrix M equals U times Sigma times V transpose
∀x (Q(x) ↔ S(x)),"for all x, Q(x) if and only if S(x)"
dC/dt,the derivative of matrix C with respect to t
‖x‖₁,the L1 norm of vector x
chol(A),the Cholesky decomposition of matrix A
M is singular,matrix M is singular
‖v‖∞,the infinity norm of vector v
p ∨ t,either p or t
∃!z R(z),there exists a unique z such that R(z)
¬(t ∨ s ∨ t) ↔ (¬t ∧ ¬s ∧ ¬t),"not any of t, s, ot t is esuivalent to not t, and not s, and not t"
(A + C)⁻¹,the inverse of the sum of matrices A and C
ker(L),the kernel of linear transformation L
Aw = λw,matrix A times vector w equals λ times vector w
M is symmetric,matrix M is symmetric
∀y (P(y) ↔ S(y)),"for all y, P(y) if and only if S(y)"
M ∈ ℝ³ˣ³,matrix M is a 3 by 3 real matrix
∃!z Q(z),there exists a unique z such that Q(z)
(p ↔ q) ∧ (r ↔ s),"p if and only if q, and r if and only if s"
p ∧ q,p is true and q is true
r → s,if r then s
tr(A²),the trace of A squared
M is upper triangular,matrix M is upper triangular
∃y in D Q(y),there exists y in D such that Q(y) is true
"∀y, Q(y)","for all y, Q(y)"
"∃x ∀y Q(x, y)","there exists x such that for all y, Q(x, y) is true"
v ⋅ x,the dot product of vectors v and x
"span(x₁, x₂, ..., xₖ)","the span of vectors x1, x2, through xk"
(C - μI)u = 0,matrix C minus μ times the identity matrix times vector u equals zero
"(z₁, z₂, z₃)","the vector with components z1, z2, and z3"
Cv = λv,matrix C times vector v equals λ times vector v
(kB)ᵀ,the transpose of k times matrix B
(q ∧ p) → (r ∨ s),if both q and p then either r or s
"∃x, Q(x)",there exists x such that Q(x)
B₃₃,the 3 by 3 matrix B
(s ∨ p) ∧ (q ∨ r),"either s or p, and either q or r"
log(B),the matrix logarithm of B
Au = λu,matrix A times vector u equals λ times vector u
"∀x ∀y P(x, y)","for all x and for all y, P(x, y) is true"
AP,the product of matrices A and P
wᵢ,the i-th component of vector w
s ∧ t,both s and t
rank(f),the rank of linear transformation f
A → (A ∨ B),if A then A or B
v2(C),the second eigenvector of matrix C
q ↔ r,q if and only if r
"[x₁, x₂, x₃]","the vector with components x1, x2, and x3"
r → (p ∨ q),if r then either p or q
log(M),the matrix logarithm of M
(p ∨ r),p or r
"∃x ∃z R(x, z)","there exist x and z such that R(x, z) is true"
(cB)⁻¹,the inverse of c times matrix B
p ∨ (r ∧ q),p or both r and q
